gene_id	avg_coverage	gene_length
PROKKA_MOD_PART0_00145	0	1188
PROKKA_MOD_PART0_00146	0	234
PROKKA_MOD_PART0_00147	0	315
PROKKA_MOD_PART0_00148	0.506024	249
PROKKA_MOD_PART0_00149	0	792
PROKKA_MOD_PART0_00150	0	456
PROKKA_MOD_PART0_00151	0	168
PROKKA_MOD_PART0_00152	0	954
PROKKA_MOD_PART0_00153	0	759
PROKKA_MOD_PART0_00154	0.246334	1023
PROKKA_MOD_PART0_00155	0	375
PROKKA_MOD_PART0_00156	0	501
PROKKA_MOD_PART0_00157	0	672
PROKKA_MOD_PART0_00158	0	87
PROKKA_MOD_PART0_00159	0.162162	777
PROKKA_MOD_PART0_00160	0.0277778	1116
PROKKA_MOD_PART0_00161	0.761905	105
PROKKA_MOD_PART0_00162	0	438
PROKKA_MOD_PART0_00163	0	84
PROKKA_MOD_PART0_00164	0	294
PROKKA_MOD_PART0_00165	0	936
PROKKA_MOD_PART0_00166	0	171
PROKKA_MOD_PART0_00167	0	528
PROKKA_MOD_PART0_00168	0	2670
PROKKA_MOD_PART0_00169	0	177
PROKKA_MOD_PART0_00170	0	1203
PROKKA_MOD_PART0_00171	0	567
PROKKA_MOD_PART0_00172	0	555
PROKKA_MOD_PART0_00173	0	156
PROKKA_MOD_PART0_00174	0	450
PROKKA_MOD_PART0_00175	0	387
PROKKA_MOD_PART0_00176	0.3173	1185
PROKKA_MOD_PART0_00177	0	339
PROKKA_MOD_PART0_00178	0	387
PROKKA_MOD_PART0_00179	0	225
PROKKA_MOD_PART0_00180	0.925	120
PROKKA_MOD_PART0_00181	0.230713	1374
PROKKA_MOD_PART0_00182	0	687
PROKKA_MOD_PART0_00183	0	585
PROKKA_MOD_PART0_00184	0	228
PROKKA_MOD_PART0_00185	0	210
PROKKA_MOD_PART0_00186	0	789
PROKKA_MOD_PART0_00187	0	126
PROKKA_MOD_PART0_00188	0.656217	957
PROKKA_MOD_PART0_00189	0	531
PROKKA_MOD_PART0_00190	0	228
PROKKA_MOD_PART0_00191	0	867
PROKKA_MOD_PART0_00192	0	279
PROKKA_MOD_PART0_00193	0	1545
PROKKA_MOD_PART0_00194	0	846
PROKKA_MOD_PART0_00195	0	102
PROKKA_MOD_PART0_00196	0	360
PROKKA_MOD_PART0_00197	0	207
PROKKA_MOD_PART0_00198	0	516
PROKKA_MOD_PART0_00199	0	156
PROKKA_MOD_PART0_00200	0	258
PROKKA_MOD_PART0_00201	0	357
PROKKA_MOD_PART0_00202	0	834
PROKKA_MOD_PART0_00203	0	168
PROKKA_MOD_PART0_00204	0	822
PROKKA_MOD_PART0_00205	0	318
PROKKA_MOD_PART0_00206	0	807
PROKKA_MOD_PART0_00207	0	66
PROKKA_MOD_PART0_00208	0.641509	318
PROKKA_MOD_PART0_00209	0.1185	1173
PROKKA_MOD_PART0_00210	0	603
PROKKA_MOD_PART0_00211	0	522
PROKKA_MOD_PART0_00212	0	252
PROKKA_MOD_PART0_00213	0	495
PROKKA_MOD_PART0_00214	0	1044
PROKKA_MOD_PART0_00215	0	198
PROKKA_MOD_PART0_00216	0	270
PROKKA_MOD_PART0_00217	1.05274	474
PROKKA_MOD_PART0_00218	0	552
PROKKA_MOD_PART0_00219	0	555
PROKKA_MOD_PART0_00220	0	258
PROKKA_MOD_PART0_00221	0	108
PROKKA_MOD_PART0_00222	0	327
PROKKA_MOD_PART0_00223	0	354
PROKKA_MOD_PART0_00224	0	144
PROKKA_MOD_PART0_00225	0	387
PROKKA_MOD_PART0_00226	0.87037	108
PROKKA_MOD_PART0_00227	0.0093897	1065
PROKKA_MOD_PART0_00228	0	216
PROKKA_MOD_PART0_00229	0	444
PROKKA_MOD_PART0_00230	0	894
PROKKA_MOD_PART0_00231	0	660
PROKKA_MOD_PART0_00232	0	501
PROKKA_MOD_PART0_00233	0	234
PROKKA_MOD_PART0_00234	0	201
PROKKA_MOD_PART0_00235	0	297
PROKKA_MOD_PART0_00236	0	582
PROKKA_MOD_PART0_00237	0	1881
PROKKA_MOD_PART0_00238	0	408
PROKKA_MOD_PART0_00239	0	1329
PROKKA_MOD_PART0_00240	0	1116
PROKKA_MOD_PART0_00241	0	243
PROKKA_MOD_PART0_00242	0	390
PROKKA_MOD_PART0_00243	0	240
PROKKA_MOD_PART0_00244	0	1497
PROKKA_MOD_PART0_00245	0	1428
PROKKA_MOD_PART0_00246	0	1446
PROKKA_MOD_PART0_00247	0	708
PROKKA_MOD_PART0_00248	0	210
PROKKA_MOD_PART0_00249	0	1176
PROKKA_MOD_PART0_00250	0	543
PROKKA_MOD_PART0_00251	0	90
PROKKA_MOD_PART0_00252	0	480
PROKKA_MOD_PART0_00253	0	864
PROKKA_MOD_PART0_00254	0	171
PROKKA_MOD_PART0_00255	0	654
PROKKA_MOD_PART0_00256	0	102
PROKKA_MOD_PART0_00257	0	477
PROKKA_MOD_PART0_00258	0	507
PROKKA_MOD_PART0_00259	0	1218
PROKKA_MOD_PART0_00260	0	2001
PROKKA_MOD_PART0_00261	0.176471	714
PROKKA_MOD_PART0_00262	0	621
PROKKA_MOD_PART0_00263	0	645
PROKKA_MOD_PART0_00264	0	348
PROKKA_MOD_PART0_00265	0	537
PROKKA_MOD_PART0_00266	0	525
PROKKA_MOD_PART0_00267	0	978
PROKKA_MOD_PART0_00268	0	183
PROKKA_MOD_PART0_00269	0	342
PROKKA_MOD_PART0_00270	0	213
PROKKA_MOD_PART0_00271	0	1011
PROKKA_MOD_PART0_00272	0.424242	297
PROKKA_MOD_PART0_00273	0	642
PROKKA_MOD_PART0_00274	0.52	75
PROKKA_MOD_PART0_00275	0	726
PROKKA_MOD_PART0_00276	0	84
PROKKA_MOD_PART0_00277	0	261
PROKKA_MOD_PART0_00278	0	72
PROKKA_MOD_PART0_00279	0	264
PROKKA_MOD_PART0_00280	0	462
PROKKA_MOD_PART0_00281	0	228
PROKKA_MOD_PART0_00282	0	276
PROKKA_MOD_PART0_00283	0	1125
PROKKA_MOD_PART0_00284	0	1551
PROKKA_MOD_PART0_00285	0	276
PROKKA_MOD_PART0_00286	0	1788
PROKKA_MOD_PART0_00287	0	669
PROKKA_MOD_PART0_00288	0	576
PROKKA_MOD_PART0_00289	0	951
PROKKA_MOD_PART0_00290	0	1086
PROKKA_MOD_PART0_00291	0	252
PROKKA_MOD_PART0_00292	0	792
PROKKA_MOD_PART0_00293	0	1095
PROKKA_MOD_PART0_00294	0.112	2250
PROKKA_MOD_PART0_00295	0	609
PROKKA_MOD_PART0_00296	0.243478	1035
PROKKA_MOD_PART0_00297	0.260763	1626
PROKKA_MOD_PART0_00298	0.310433	393
PROKKA_MOD_PART0_00299	0.122628	2055
PROKKA_MOD_PART0_00300	0	3033
PROKKA_MOD_PART0_00301	0.156134	1614
PROKKA_MOD_PART0_00302	0.0633962	3975
PROKKA_MOD_PART0_00303	0	3228
PROKKA_MOD_PART0_00304	0	210
PROKKA_MOD_PART0_00305	0	2529
PROKKA_MOD_PART0_00306	0	153
PROKKA_MOD_PART0_00307	0	918
PROKKA_MOD_PART0_00308	0	1449
PROKKA_MOD_PART0_00309	0	1260
PROKKA_MOD_PART0_00310	0	321
PROKKA_MOD_PART0_00311	0	543
PROKKA_MOD_PART0_00312	0.170068	147
PROKKA_MOD_PART0_00313	0	294
PROKKA_MOD_PART0_00314	0.0804598	3132
PROKKA_MOD_PART0_00315	0	411
PROKKA_MOD_PART0_00316	0	609
PROKKA_MOD_PART0_00317	0	798
PROKKA_MOD_PART0_00318	0	762
PROKKA_MOD_PART0_00319	0	372
PROKKA_MOD_PART0_00320	0	1233
PROKKA_MOD_PART0_00321	0	1431
PROKKA_MOD_PART0_00322	0	2439
PROKKA_MOD_PART0_00323	0.233983	1077
PROKKA_MOD_PART0_00324	0	1251
PROKKA_MOD_PART0_00325	0	957
PROKKA_MOD_PART0_00326	0	105
PROKKA_MOD_PART0_00327	0.310376	2178
PROKKA_MOD_PART0_00328	0.253823	327
PROKKA_MOD_PART0_00329	0	594
PROKKA_MOD_PART0_00330	0	174
PROKKA_MOD_PART0_00331	0	2967
PROKKA_MOD_PART0_00332	0	1245
PROKKA_MOD_PART0_00333	0	2724
PROKKA_MOD_PART0_00334	0	240
PROKKA_MOD_PART0_00335	0	105
PROKKA_MOD_PART0_00336	0.640625	384
PROKKA_MOD_PART0_00337	0	162
PROKKA_MOD_PART0_00338	0	762
PROKKA_MOD_PART0_00339	0	285
PROKKA_MOD_PART0_00340	0	156
PROKKA_MOD_PART0_00341	0	1536
PROKKA_MOD_PART0_00342	0	405
PROKKA_MOD_PART0_00343	0	924
PROKKA_MOD_PART0_00344	0	747
PROKKA_MOD_PART0_00345	0	2004
PROKKA_MOD_PART0_00346	0	150
PROKKA_MOD_PART0_00347	0	216
PROKKA_MOD_PART0_00348	0	558
PROKKA_MOD_PART0_00349	0	66
PROKKA_MOD_PART0_00350	0	999
PROKKA_MOD_PART0_00351	0	387
PROKKA_MOD_PART0_00352	0	666
PROKKA_MOD_PART0_00353	0	465
PROKKA_MOD_PART0_00354	0	120
PROKKA_MOD_PART0_00355	0	324
PROKKA_MOD_PART0_00356	0	273
PROKKA_MOD_PART0_00357	0	813
PROKKA_MOD_PART0_00358	0	891
PROKKA_MOD_PART0_00359	0	1506
PROKKA_MOD_PART0_00360	0.488372	129
PROKKA_MOD_PART0_00361	0	222
PROKKA_MOD_PART0_00362	0	1257
PROKKA_MOD_PART0_00363	0	309
PROKKA_MOD_PART0_00364	0	828
PROKKA_MOD_PART0_00365	0	147
PROKKA_MOD_PART0_00366	0	1035
PROKKA_MOD_PART0_00367	0	570
PROKKA_MOD_PART0_00368	0	270
PROKKA_MOD_PART0_00369	0	486
PROKKA_MOD_PART0_00370	0.0857241	2928
PROKKA_MOD_PART0_00371	0	1143
PROKKA_MOD_PART0_00372	0	483
PROKKA_MOD_PART0_00373	0	246
PROKKA_MOD_PART0_00374	0	1215
PROKKA_MOD_PART0_00375	0	456
PROKKA_MOD_PART0_00376	0	429
PROKKA_MOD_PART0_00377	0	84
PROKKA_MOD_PART0_00378	0	696
PROKKA_MOD_PART0_00379	0	252
PROKKA_MOD_PART0_00380	0	315
PROKKA_MOD_PART0_00381	0	375
PROKKA_MOD_PART0_00382	0	846
PROKKA_MOD_PART0_00383	0	768
PROKKA_MOD_PART0_00384	0	219
PROKKA_MOD_PART0_00385	0	168
PROKKA_MOD_PART0_00386	0	858
PROKKA_MOD_PART0_00387	0	1980
PROKKA_MOD_PART0_00388	0	402
PROKKA_MOD_PART0_00389	0	615
PROKKA_MOD_PART0_00390	0	585
PROKKA_MOD_PART0_00391	0	414
PROKKA_MOD_PART0_00392	0	540
PROKKA_MOD_PART0_00393	0	654
PROKKA_MOD_PART0_00394	0.679924	528
PROKKA_MOD_PART0_00395	0	414
PROKKA_MOD_PART0_00396	0	2784
PROKKA_MOD_PART0_00397	0	1644
PROKKA_MOD_PART0_00398	0	165
PROKKA_MOD_PART0_00399	0	1128
PROKKA_MOD_PART0_00400	0	756
PROKKA_MOD_PART0_00401	0	561
PROKKA_MOD_PART0_00402	0	132
PROKKA_MOD_PART0_00403	0	750
PROKKA_MOD_PART0_00404	0	567
PROKKA_MOD_PART0_00405	0	504
PROKKA_MOD_PART0_00406	0	336
PROKKA_MOD_PART0_00407	0	213
PROKKA_MOD_PART0_00408	0	375
PROKKA_MOD_PART0_00409	0	588
PROKKA_MOD_PART0_00410	0.790568	1251
PROKKA_MOD_PART0_00411	0	411
PROKKA_MOD_PART0_00412	0	75
PROKKA_MOD_PART0_00413	0	333
PROKKA_MOD_PART0_00414	0	84
PROKKA_MOD_PART0_00415	0.0838364	1491
PROKKA_MOD_PART0_00416	0	582
PROKKA_MOD_PART0_00417	0.251497	501
PROKKA_MOD_PART0_00418	0	540
PROKKA_MOD_PART0_00419	0	1368
PROKKA_MOD_PART0_00420	0	597
PROKKA_MOD_PART0_00421	0	309
PROKKA_MOD_PART0_00422	0.708333	864
PROKKA_MOD_PART0_00423	0	576
PROKKA_MOD_PART0_00424	0.173077	624
PROKKA_MOD_PART0_00425	0.254545	165
PROKKA_MOD_PART0_00426	0	513
PROKKA_MOD_PART0_00427	0	612
PROKKA_MOD_PART0_00428	0	1326
PROKKA_MOD_PART0_00429	0	1497
PROKKA_MOD_PART0_00430	0	132
PROKKA_MOD_PART0_00431	0	303
PROKKA_MOD_PART0_00432	0	237
PROKKA_MOD_PART0_00433	0	192
PROKKA_MOD_PART0_00434	0	615
PROKKA_MOD_PART0_00435	0.995238	630
PROKKA_MOD_PART0_00436	0	216
PROKKA_MOD_PART0_00437	0	324
PROKKA_MOD_PART0_00438	0	549
PROKKA_MOD_PART0_00439	0	435
PROKKA_MOD_PART0_00440	0	861
PROKKA_MOD_PART0_00441	0	1047
PROKKA_MOD_PART0_00442	0	201
PROKKA_MOD_PART0_00443	0	465
PROKKA_MOD_PART0_00444	0	498
PROKKA_MOD_PART0_00445	0	570
PROKKA_MOD_PART0_00446	0	648
PROKKA_MOD_PART0_00447	0	849
PROKKA_MOD_PART0_00448	0	132
PROKKA_MOD_PART0_00449	0	855
PROKKA_MOD_PART0_00450	0	402
PROKKA_MOD_PART0_00451	0	192
PROKKA_MOD_PART0_00452	0	546
PROKKA_MOD_PART0_00453	0	1296
PROKKA_MOD_PART0_00454	0	138
PROKKA_MOD_PART0_00455	0	1869
PROKKA_MOD_PART0_00456	0	933
PROKKA_MOD_PART0_00457	0	1278
PROKKA_MOD_PART0_00458	0	1083
PROKKA_MOD_PART0_00459	0	621
PROKKA_MOD_PART0_00460	0	582
PROKKA_MOD_PART0_00461	0	2316
PROKKA_MOD_PART0_00462	0	228
PROKKA_MOD_PART0_00463	0	1473
PROKKA_MOD_PART0_00464	0	1041
PROKKA_MOD_PART0_00465	0	471
PROKKA_MOD_PART0_00466	0	768
PROKKA_MOD_PART0_00467	0	1803
PROKKA_MOD_PART0_00468	0	1680
PROKKA_MOD_PART0_00469	0	639
PROKKA_MOD_PART0_00470	0	3741
PROKKA_MOD_PART0_00471	0	1890
PROKKA_MOD_PART0_00472	0	1422
PROKKA_MOD_PART0_00473	0	843
PROKKA_MOD_PART0_00474	0	303
PROKKA_MOD_PART0_00475	0	348
PROKKA_MOD_PART0_00476	0	351
PROKKA_MOD_PART0_00477	0	444
PROKKA_MOD_PART0_00478	0	1239
PROKKA_MOD_PART0_00479	0	414
PROKKA_MOD_PART0_00480	0	630
PROKKA_MOD_PART0_00481	0	1131
PROKKA_MOD_PART0_00482	0	147
PROKKA_MOD_PART0_00483	0.185841	678
PROKKA_MOD_PART0_00484	0	666
PROKKA_MOD_PART0_00485	0	417
PROKKA_MOD_PART0_00486	0	636
PROKKA_MOD_PART0_00487	0	213
PROKKA_MOD_PART0_00488	0	96
PROKKA_MOD_PART0_00489	0	447
PROKKA_MOD_PART0_00490	0	1029
PROKKA_MOD_PART0_00491	0	696
PROKKA_MOD_PART0_00492	0	522
PROKKA_MOD_PART0_00493	0.133758	942
PROKKA_MOD_PART0_00494	0	354
PROKKA_MOD_PART0_00495	0	162
PROKKA_MOD_PART0_00496	0	510
PROKKA_MOD_PART0_00497	0	705
PROKKA_MOD_PART0_00498	0	888
PROKKA_MOD_PART0_00499	0	63
PROKKA_MOD_PART0_00500	0	219
PROKKA_MOD_PART0_00501	0	141
PROKKA_MOD_PART0_00502	0	510
PROKKA_MOD_PART0_00503	0	963
PROKKA_MOD_PART0_00504	0	1671
PROKKA_MOD_PART0_00505	0	198
PROKKA_MOD_PART0_00506	0.293651	630
PROKKA_MOD_PART0_00507	0	423
PROKKA_MOD_PART0_00508	0	297
PROKKA_MOD_PART0_00509	0	372
PROKKA_MOD_PART0_00510	0	426
PROKKA_MOD_PART0_00511	0	1167
PROKKA_MOD_PART0_00512	0	72
PROKKA_MOD_PART0_00513	0	1140
PROKKA_MOD_PART0_00514	0	1320
PROKKA_MOD_PART0_00515	0	522
PROKKA_MOD_PART0_00516	0	669
PROKKA_MOD_PART0_00517	0	660
PROKKA_MOD_PART0_00518	0	210
PROKKA_MOD_PART0_00519	0	669
PROKKA_MOD_PART0_00520	0	78
PROKKA_MOD_PART0_00521	0	504
PROKKA_MOD_PART0_00522	0	432
PROKKA_MOD_PART0_00523	0	63
PROKKA_MOD_PART0_00524	0	708
PROKKA_MOD_PART0_00525	0	198
PROKKA_MOD_PART0_00526	0	249
PROKKA_MOD_PART0_00527	0	219
PROKKA_MOD_PART0_00528	0	549
PROKKA_MOD_PART0_00529	0	165
PROKKA_MOD_PART0_00530	0	240
PROKKA_MOD_PART0_00531	0	219
PROKKA_MOD_PART0_00532	0	612
PROKKA_MOD_PART0_00533	0	525
PROKKA_MOD_PART0_00534	0	204
PROKKA_MOD_PART0_00535	0	654
PROKKA_MOD_PART0_00536	0	243
PROKKA_MOD_PART0_00537	0	432
PROKKA_MOD_PART0_00538	0	465
PROKKA_MOD_PART0_00539	0	246
PROKKA_MOD_PART0_00540	0	552
PROKKA_MOD_PART0_00541	0	105
PROKKA_MOD_PART0_00542	0.537538	333
PROKKA_MOD_PART0_00543	0	153
PROKKA_MOD_PART0_00544	0	1299
PROKKA_MOD_PART0_00545	0	597
PROKKA_MOD_PART0_00546	0	783
PROKKA_MOD_PART0_00547	0	1407
PROKKA_MOD_PART0_00548	0	219
PROKKA_MOD_PART0_00549	0	579
PROKKA_MOD_PART0_00550	0	2664
PROKKA_MOD_PART0_00551	0	486
PROKKA_MOD_PART0_00552	0	1320
PROKKA_MOD_PART0_00553	0	720
PROKKA_MOD_PART0_00554	0	225
PROKKA_MOD_PART0_00555	0	912
PROKKA_MOD_PART0_00556	0	1311
PROKKA_MOD_PART0_00557	0	150
PROKKA_MOD_PART0_00558	0	294
PROKKA_MOD_PART0_00559	0	612
PROKKA_MOD_PART0_00560	0	249
PROKKA_MOD_PART0_00561	0	261
PROKKA_MOD_PART0_00562	0	597
PROKKA_MOD_PART0_00563	0	216
PROKKA_MOD_PART0_00564	0	423
PROKKA_MOD_PART0_00565	0	78
PROKKA_MOD_PART0_00566	0	471
PROKKA_MOD_PART0_00567	0	291
PROKKA_MOD_PART0_00568	0	225
PROKKA_MOD_PART0_00569	0	1833
PROKKA_MOD_PART0_00570	0	882
PROKKA_MOD_PART0_00571	0	984
PROKKA_MOD_PART0_00572	0	573
PROKKA_MOD_PART0_00573	0	75
PROKKA_MOD_PART0_00574	0	3456
PROKKA_MOD_PART0_00575	0	585
PROKKA_MOD_PART0_00576	0	828
PROKKA_MOD_PART0_00577	0	261
PROKKA_MOD_PART0_00578	0	294
PROKKA_MOD_PART0_00579	0	1158
PROKKA_MOD_PART0_00580	0	1383
PROKKA_MOD_PART0_00581	0	1356
PROKKA_MOD_PART0_00582	0	465
PROKKA_MOD_PART0_00583	0	1356
PROKKA_MOD_PART0_00584	0	261
PROKKA_MOD_PART0_00585	0	453
PROKKA_MOD_PART0_00586	0	273
PROKKA_MOD_PART0_00587	0	1536
PROKKA_MOD_PART0_00588	0	438
PROKKA_MOD_PART0_00589	0.287879	726
PROKKA_MOD_PART0_00590	0.649315	1095
PROKKA_MOD_PART0_00591	0	1062
PROKKA_MOD_PART0_00592	0	972
PROKKA_MOD_PART0_00593	0	984
PROKKA_MOD_PART0_00594	0	537
PROKKA_MOD_PART0_00595	0.362069	696
PROKKA_MOD_PART0_00596	0	426
PROKKA_MOD_PART0_00597	0	369
PROKKA_MOD_PART0_00598	0.297872	423
PROKKA_MOD_PART0_00599	0	639
PROKKA_MOD_PART0_00600	0	891
PROKKA_MOD_PART0_00601	0	978
PROKKA_MOD_PART0_00602	0	510
PROKKA_MOD_PART0_00603	0.175	720
PROKKA_MOD_PART0_00604	0	579
PROKKA_MOD_PART0_00605	0	684
PROKKA_MOD_PART0_00606	0	687
PROKKA_MOD_PART0_00607	0	324
PROKKA_MOD_PART0_00608	0	402
PROKKA_MOD_PART0_00609	0	768
PROKKA_MOD_PART0_00610	1.98182	825
PROKKA_MOD_PART0_00611	0	327
PROKKA_MOD_PART0_00612	0	219
PROKKA_MOD_PART0_00613	0	681
PROKKA_MOD_PART0_00614	0	324
PROKKA_MOD_PART0_00615	0	846
PROKKA_MOD_PART0_00616	0	435
PROKKA_MOD_PART0_00617	0	897
PROKKA_MOD_PART0_00618	0	324
PROKKA_MOD_PART0_00619	0	1101
PROKKA_MOD_PART0_00620	0	576
PROKKA_MOD_PART0_00621	0	1098
PROKKA_MOD_PART0_00622	0	606
PROKKA_MOD_PART0_00623	0	537
PROKKA_MOD_PART0_00624	0	213
PROKKA_MOD_PART0_00625	0	501
PROKKA_MOD_PART0_00626	0	72
PROKKA_MOD_PART0_00627	0	447
PROKKA_MOD_PART0_00628	0	651
PROKKA_MOD_PART0_00629	0	555
PROKKA_MOD_PART0_00630	0	156
PROKKA_MOD_PART0_00631	0	342
PROKKA_MOD_PART0_00632	0	225
PROKKA_MOD_PART0_00633	0	543
PROKKA_MOD_PART0_00634	0	528
PROKKA_MOD_PART0_00635	0	477
PROKKA_MOD_PART0_00636	0	207
PROKKA_MOD_PART0_00637	0	360
PROKKA_MOD_PART0_00638	0	894
PROKKA_MOD_PART0_00639	0	657
PROKKA_MOD_PART0_00640	0	642
PROKKA_MOD_PART0_00641	0	258
PROKKA_MOD_PART0_00642	0	1017
PROKKA_MOD_PART0_00643	0.178063	702
PROKKA_MOD_PART0_00644	0.21875	576
PROKKA_MOD_PART0_00645	0.261799	1356
PROKKA_MOD_PART0_00646	0	501
PROKKA_MOD_PART0_00647	0	1104
PROKKA_MOD_PART0_00648	0	708
PROKKA_MOD_PART0_00649	0	969
PROKKA_MOD_PART0_00650	0	1386
