PROKKA_MOD_PART0_00016	TIGR01420
PROKKA_MOD_PART0_00590	TIGR01799
PROKKA_MOD_PART0_00591	TIGR00254
PROKKA_MOD_PART0_00592	TIGR03227
PROKKA_MOD_PART0_00593	TIGR03869
PROKKA_MOD_PART0_00597	TIGR00049
PROKKA_MOD_PART0_00608	TIGR01088
PROKKA_MOD_PART0_00609	TIGR01357
PROKKA_MOD_PART0_00613	TIGR03866
PROKKA_MOD_PART0_00615	TIGR01963
PROKKA_MOD_PART0_00616	TIGR03081
PROKKA_MOD_PART0_00617	TIGR01830
PROKKA_MOD_PART0_00621	TIGR00932
PROKKA_MOD_PART0_00627	TIGR03668
PROKKA_MOD_PART0_00635	TIGR03193
PROKKA_MOD_PART0_00639	TIGR00406
PROKKA_MOD_PART0_00643	TIGR01198
PROKKA_MOD_PART0_00644	TIGR00477
PROKKA_MOD_PART0_00645	TIGR00484
PROKKA_MOD_PART0_00650	TIGR02946
PROKKA_MOD_PART0_00651	TIGR01810
PROKKA_MOD_PART0_00652	TIGR03591
PROKKA_MOD_PART0_00653	TIGR00952
PROKKA_MOD_PART0_00654	TIGR00431
PROKKA_MOD_PART0_00655	TIGR00082
PROKKA_MOD_PART0_00656	TIGR00487
PROKKA_MOD_PART0_00659	TIGR00594
PROKKA_MOD_PART0_00663	TIGR00421
PROKKA_MOD_PART0_00664	TIGR02262
PROKKA_MOD_PART0_00683	TIGR02260
PROKKA_MOD_PART0_00690	TIGR01188
PROKKA_MOD_PART0_00719	TIGR02179
PROKKA_MOD_PART0_00722	TIGR02684
PROKKA_MOD_PART0_00723	TIGR02683
PROKKA_MOD_PART0_00730	TIGR02356
PROKKA_MOD_PART0_00731	TIGR00010
PROKKA_MOD_PART0_00732	TIGR00464
PROKKA_MOD_PART0_00733	TIGR01179
PROKKA_MOD_PART0_00734	TIGR01822
PROKKA_MOD_PART0_00735	TIGR02504
PROKKA_MOD_PART0_00737	TIGR00530
PROKKA_MOD_PART0_00739	TIGR00518
PROKKA_MOD_PART0_00740	TIGR00150
PROKKA_MOD_PART0_00741	TIGR02154
PROKKA_MOD_PART0_00742	TIGR02521
PROKKA_MOD_PART0_00744	TIGR01969
PROKKA_MOD_PART0_00745	TIGR00589
PROKKA_MOD_PART0_00746	TIGR00091
PROKKA_MOD_PART0_00747	TIGR03511
PROKKA_MOD_PART0_00755	TIGR00246
PROKKA_MOD_PART0_00757	TIGR00059
PROKKA_MOD_PART0_00758	TIGR01066
PROKKA_MOD_PART0_00780	TIGR02280
PROKKA_MOD_PART0_00793	TIGR03417
PROKKA_MOD_PART0_00807	TIGR03300
PROKKA_MOD_PART0_00812	TIGR00530
PROKKA_MOD_PART0_00816	TIGR02534
PROKKA_MOD_PART0_00818	TIGR00593
PROKKA_MOD_PART0_00828	TIGR01081
PROKKA_MOD_PART0_00831	TIGR01963
PROKKA_MOD_PART0_00832	TIGR00713
PROKKA_MOD_PART0_00845	TIGR00530
PROKKA_MOD_PART0_00846	TIGR02425
PROKKA_MOD_PART0_00851	TIGR00171
PROKKA_MOD_PART0_00861	TIGR03402
PROKKA_MOD_PART0_00865	TIGR00901
PROKKA_MOD_PART0_00866	TIGR00633
PROKKA_MOD_PART0_00868	TIGR02225
PROKKA_MOD_PART0_00874	TIGR04317
PROKKA_MOD_PART0_00875	TIGR02623
PROKKA_MOD_PART0_00878	TIGR01748
PROKKA_MOD_PART0_00879	TIGR02624
PROKKA_MOD_PART0_00880	TIGR02627
PROKKA_MOD_PART0_00886	TIGR02198
PROKKA_MOD_PART0_00897	TIGR00667
PROKKA_MOD_PART0_00899	TIGR02639
PROKKA_MOD_PART0_00901	TIGR02770
PROKKA_MOD_PART0_00902	TIGR02769
PROKKA_MOD_PART0_00904	TIGR03739
PROKKA_MOD_PART0_00905	TIGR00932
PROKKA_MOD_PART0_00936	TIGR01934
PROKKA_MOD_PART0_00938	TIGR03598
PROKKA_MOD_PART0_00944	TIGR00880
PROKKA_MOD_PART0_00945	TIGR03471
PROKKA_MOD_PART0_00954	TIGR00512
PROKKA_MOD_PART0_00956	TIGR00644
PROKKA_MOD_PART0_00959	TIGR02866
PROKKA_MOD_PART0_00964	TIGR00642
PROKKA_MOD_PART0_00968	TIGR03018
PROKKA_MOD_PART0_00970	TIGR02917
PROKKA_MOD_PART0_00977	TIGR01695
PROKKA_MOD_PART0_00982	TIGR00261
PROKKA_MOD_PART0_00988	TIGR01710
PROKKA_MOD_PART0_00989	TIGR01116
PROKKA_MOD_PART0_01002	TIGR00571
PROKKA_MOD_PART0_01007	TIGR00391
PROKKA_MOD_PART0_01016	TIGR03294
PROKKA_MOD_PART0_01017	TIGR03295
PROKKA_MOD_PART0_01018	TIGR00072
PROKKA_MOD_PART0_01019	TIGR02154
PROKKA_MOD_PART0_01021	TIGR00515
PROKKA_MOD_PART0_01022	TIGR00513
PROKKA_MOD_PART0_01023	TIGR01108
PROKKA_MOD_PART0_01025	TIGR04182
PROKKA_MOD_PART0_01030	TIGR01132
PROKKA_MOD_PART0_01038	TIGR01188
PROKKA_MOD_PART0_01049	TIGR01083
PROKKA_MOD_PART0_01051	TIGR01988
PROKKA_MOD_PART0_01052	TIGR02990
PROKKA_MOD_PART0_01061	TIGR02656
PROKKA_MOD_PART0_01064	TIGR00385
PROKKA_MOD_PART0_01068	TIGR02381
PROKKA_MOD_PART0_01092	TIGR03301
PROKKA_MOD_PART0_01094	TIGR03297
PROKKA_MOD_PART0_01095	TIGR02320
PROKKA_MOD_PART0_01097	TIGR01326
PROKKA_MOD_PART0_01098	TIGR01001
PROKKA_MOD_PART0_01099	TIGR03591
PROKKA_MOD_PART0_01105	TIGR00507
PROKKA_MOD_PART0_01111	TIGR04183
PROKKA_MOD_PART0_01117	TIGR01496
PROKKA_MOD_PART0_01118	TIGR00159
PROKKA_MOD_PART0_01128	TIGR03592
PROKKA_MOD_PART0_01131	TIGR02381
PROKKA_MOD_PART0_01135	TIGR02683
PROKKA_MOD_PART0_01136	TIGR02684
PROKKA_MOD_PART0_01141	TIGR00281
PROKKA_MOD_PART0_01144	TIGR01093
PROKKA_MOD_PART0_01161	TIGR03300
PROKKA_MOD_PART0_01170	TIGR03947
PROKKA_MOD_PART0_01172	TIGR00042
PROKKA_MOD_PART0_01174	TIGR02802
PROKKA_MOD_PART0_01193	TIGR01251
PROKKA_MOD_PART0_01197	TIGR02382
PROKKA_MOD_PART0_01198	TIGR02379
PROKKA_MOD_PART0_01221	TIGR02981
PROKKA_MOD_PART0_01223	TIGR01656
PROKKA_MOD_PART0_01224	TIGR00441
PROKKA_MOD_PART0_01225	TIGR02076
PROKKA_MOD_PART0_01231	TIGR03350
PROKKA_MOD_PART0_01232	TIGR00220
PROKKA_MOD_PART0_01234	TIGR00633
PROKKA_MOD_PART0_01235	TIGR00739
PROKKA_MOD_PART0_01236	TIGR01275
PROKKA_MOD_PART0_01237	TIGR00835
PROKKA_MOD_PART0_01257	TIGR03151
PROKKA_MOD_PART0_01270	TIGR01656
PROKKA_MOD_PART0_01271	TIGR02198
PROKKA_MOD_PART0_01289	TIGR01850
PROKKA_MOD_PART0_01299	TIGR00219
PROKKA_MOD_PART0_01300	TIGR03426
PROKKA_MOD_PART0_01301	TIGR00172
PROKKA_MOD_PART0_01302	TIGR00757
PROKKA_MOD_PART0_01304	TIGR00500
PROKKA_MOD_PART0_01313	TIGR00004
PROKKA_MOD_PART0_01323	TIGR03402
PROKKA_MOD_PART0_01324	TIGR00550
PROKKA_MOD_PART0_01329	TIGR00377
PROKKA_MOD_PART0_01332	TIGR01882
PROKKA_MOD_PART0_01351	TIGR00880
PROKKA_MOD_PART0_01354	TIGR03175
PROKKA_MOD_PART0_01355	TIGR03964
PROKKA_MOD_PART0_01356	TIGR01089
PROKKA_MOD_PART0_01357	TIGR01463
PROKKA_MOD_PART0_01360	TIGR02199
PROKKA_MOD_PART0_01370	TIGR01109
PROKKA_MOD_PART0_01371	TIGR01379
PROKKA_MOD_PART0_01372	TIGR00150
PROKKA_MOD_PART0_01373	TIGR03407
PROKKA_MOD_PART0_01379	TIGR00218
PROKKA_MOD_PART0_01380	TIGR00235
PROKKA_MOD_PART0_01396	TIGR02282
PROKKA_MOD_PART0_01397	TIGR02210
PROKKA_MOD_PART0_01398	TIGR03423
PROKKA_MOD_PART0_01399	TIGR03426
PROKKA_MOD_PART0_01400	TIGR00219
PROKKA_MOD_PART0_01401	TIGR00904
PROKKA_MOD_PART0_01402	TIGR00135
PROKKA_MOD_PART0_01403	TIGR00132
PROKKA_MOD_PART0_01404	TIGR00133
PROKKA_MOD_PART0_01406	TIGR01934
PROKKA_MOD_PART0_01410	TIGR01830
PROKKA_MOD_PART0_01411	TIGR00128
PROKKA_MOD_PART0_01412	TIGR00747
PROKKA_MOD_PART0_01413	TIGR00182
PROKKA_MOD_PART0_01414	TIGR01031
PROKKA_MOD_PART0_01419	TIGR02550
PROKKA_MOD_PART0_01420	TIGR00208
PROKKA_MOD_PART0_01424	TIGR03560
PROKKA_MOD_PART0_01427	TIGR00027
PROKKA_MOD_PART0_01440	TIGR03471
PROKKA_MOD_PART0_01441	TIGR02966
PROKKA_MOD_PART0_01442	TIGR01818
PROKKA_MOD_PART0_01449	TIGR00425
PROKKA_MOD_PART0_01450	TIGR01350
PROKKA_MOD_PART0_01463	TIGR01910
PROKKA_MOD_PART0_01465	TIGR01976
PROKKA_MOD_PART0_01470	TIGR00145
PROKKA_MOD_PART0_01487	TIGR02348
PROKKA_MOD_PART0_01488	TIGR00792
PROKKA_MOD_PART0_01489	TIGR03605
PROKKA_MOD_PART0_01492	TIGR03418
PROKKA_MOD_PART0_01514	TIGR00813
PROKKA_MOD_PART0_01522	TIGR03088
PROKKA_MOD_PART0_01524	TIGR00033
PROKKA_MOD_PART0_01547	TIGR00512
PROKKA_MOD_PART0_01548	TIGR02487
PROKKA_MOD_PART0_01550	TIGR02495
PROKKA_MOD_PART0_01552	TIGR01822
PROKKA_MOD_PART0_01562	TIGR00785
PROKKA_MOD_PART0_01565	TIGR02769
PROKKA_MOD_PART0_01580	TIGR00552
PROKKA_MOD_PART0_01582	TIGR01012
PROKKA_MOD_PART0_01589	TIGR00148
PROKKA_MOD_PART0_01596	TIGR02802
PROKKA_MOD_PART0_01606	TIGR02933
PROKKA_MOD_PART0_01615	TIGR01770
PROKKA_MOD_PART0_01616	TIGR00941
PROKKA_MOD_PART0_01625	TIGR00074
PROKKA_MOD_PART0_01626	TIGR00072
PROKKA_MOD_PART0_01633	TIGR01250
PROKKA_MOD_PART0_01636	TIGR03028
PROKKA_MOD_PART0_01646	TIGR03307
PROKKA_MOD_PART0_01647	TIGR00083
PROKKA_MOD_PART0_01649	TIGR00435
PROKKA_MOD_PART0_01653	TIGR01581
PROKKA_MOD_PART0_01654	TIGR03560
PROKKA_MOD_PART0_01658	TIGR00035
PROKKA_MOD_PART0_01670	TIGR02683
PROKKA_MOD_PART0_01671	TIGR02684
PROKKA_MOD_PART0_01677	TIGR02937
PROKKA_MOD_PART0_01678	TIGR01161
PROKKA_MOD_PART0_01679	TIGR01162
PROKKA_MOD_PART0_01681	TIGR02424
PROKKA_MOD_PART0_01686	TIGR03150
PROKKA_MOD_PART0_01690	TIGR03018
PROKKA_MOD_PART0_01695	TIGR03290
PROKKA_MOD_PART0_01700	TIGR01188
PROKKA_MOD_PART0_01701	TIGR01190
PROKKA_MOD_PART0_01709	TIGR01358
PROKKA_MOD_PART0_01712	TIGR02141
PROKKA_MOD_PART0_01722	TIGR01188
PROKKA_MOD_PART0_01724	TIGR04256
PROKKA_MOD_PART0_01726	TIGR02966
PROKKA_MOD_PART0_01729	TIGR01035
PROKKA_MOD_PART0_01745	TIGR01798
PROKKA_MOD_PART0_01750	TIGR02210
PROKKA_MOD_PART0_01751	TIGR03423
PROKKA_MOD_PART0_01754	TIGR01352
PROKKA_MOD_PART0_01761	TIGR01855
PROKKA_MOD_PART0_01767	TIGR00651
PROKKA_MOD_PART0_01771	TIGR01575
PROKKA_MOD_PART0_01773	TIGR02494
PROKKA_MOD_PART0_01784	TIGR00069
PROKKA_MOD_PART0_01785	TIGR01141
PROKKA_MOD_PART0_01786	TIGR01261
PROKKA_MOD_PART0_01794	TIGR04157
PROKKA_MOD_PART0_01804	TIGR01079
PROKKA_MOD_PART0_01806	TIGR02155
PROKKA_MOD_PART0_01808	TIGR01928
PROKKA_MOD_PART0_01813	TIGR03653
PROKKA_MOD_PART0_01818	TIGR01439
PROKKA_MOD_PART0_01819	TIGR02801
PROKKA_MOD_PART0_01824	TIGR00003
PROKKA_MOD_PART0_01832	TIGR01056
PROKKA_MOD_PART0_01835	TIGR02966
PROKKA_MOD_PART0_01836	TIGR01387
PROKKA_MOD_PART0_01838	TIGR03207
PROKKA_MOD_PART0_01839	TIGR03207
PROKKA_MOD_PART0_01841	TIGR03149
PROKKA_MOD_PART0_01847	TIGR01320
PROKKA_MOD_PART0_01868	TIGR00857
PROKKA_MOD_PART0_01880	TIGR00553
PROKKA_MOD_PART0_01882	TIGR02673
PROKKA_MOD_PART0_01895	TIGR03376
PROKKA_MOD_PART0_01896	TIGR01224
PROKKA_MOD_PART0_01902	TIGR02734
PROKKA_MOD_PART0_01904	TIGR00937
PROKKA_MOD_PART0_01909	TIGR00044
PROKKA_MOD_PART0_01911	TIGR03697
PROKKA_MOD_PART0_01917	TIGR00690
PROKKA_MOD_PART0_01924	TIGR02294
PROKKA_MOD_PART0_01925	TIGR02789
PROKKA_MOD_PART0_01926	TIGR02790
PROKKA_MOD_PART0_01927	TIGR02770
PROKKA_MOD_PART0_01935	TIGR01656
PROKKA_MOD_PART0_01936	TIGR00441
PROKKA_MOD_PART0_01949	TIGR00744
PROKKA_MOD_PART0_01951	TIGR01127
PROKKA_MOD_PART0_01952	TIGR01162
PROKKA_MOD_PART0_01953	TIGR01161
PROKKA_MOD_PART0_01959	TIGR01302
PROKKA_MOD_PART0_01962	TIGR03015
PROKKA_MOD_PART0_01970	TIGR04337
PROKKA_MOD_PART0_01971	TIGR01263
PROKKA_MOD_PART0_01972	TIGR01015
PROKKA_MOD_PART0_01995	TIGR03350
PROKKA_MOD_PART0_01998	TIGR01543
PROKKA_MOD_PART0_01999	TIGR01554
PROKKA_MOD_PART0_02014	TIGR02956
PROKKA_MOD_PART0_02015	TIGR00254
PROKKA_MOD_PART0_02027	TIGR00487
PROKKA_MOD_PART0_02028	TIGR00082
PROKKA_MOD_PART0_02030	TIGR02043
PROKKA_MOD_PART0_02042	TIGR01391
PROKKA_MOD_PART0_02055	TIGR01730
PROKKA_MOD_PART0_02063	TIGR00231
PROKKA_MOD_PART0_02064	TIGR00254
PROKKA_MOD_PART0_02070	TIGR01297
PROKKA_MOD_PART0_02074	TIGR00001
PROKKA_MOD_PART0_02075	TIGR00418
PROKKA_MOD_PART0_02076	TIGR03346
PROKKA_MOD_PART0_02082	TIGR00813
PROKKA_MOD_PART0_02083	TIGR00261
PROKKA_MOD_PART0_02095	TIGR03379
PROKKA_MOD_PART0_02110	TIGR04195
PROKKA_MOD_PART0_02122	TIGR00281
PROKKA_MOD_PART0_02125	TIGR03108
PROKKA_MOD_PART0_02137	TIGR02012
PROKKA_MOD_PART0_02143	TIGR04183
PROKKA_MOD_PART0_02146	TIGR00200
PROKKA_MOD_PART0_02153	TIGR03411
PROKKA_MOD_PART0_02158	TIGR02072
PROKKA_MOD_PART0_02164	TIGR00196
PROKKA_MOD_PART0_02174	TIGR03707
PROKKA_MOD_PART0_02192	TIGR00096
PROKKA_MOD_PART0_02193	TIGR00552
PROKKA_MOD_PART0_02194	TIGR03381
PROKKA_MOD_PART0_02195	TIGR03989
PROKKA_MOD_PART0_02199	TIGR01770
PROKKA_MOD_PART0_02200	TIGR01972
PROKKA_MOD_PART0_02201	TIGR01974
PROKKA_MOD_PART0_02204	TIGR01971
PROKKA_MOD_PART0_02206	TIGR01962
PROKKA_MOD_PART0_02207	TIGR01961
PROKKA_MOD_PART0_02208	TIGR01957
PROKKA_MOD_PART0_02210	TIGR03873
PROKKA_MOD_PART0_02211	TIGR03869
PROKKA_MOD_PART0_02212	TIGR03659
PROKKA_MOD_PART0_02213	TIGR01770
PROKKA_MOD_PART0_02214	TIGR01972
PROKKA_MOD_PART0_02216	TIGR04014
PROKKA_MOD_PART0_02217	TIGR02875
PROKKA_MOD_PART0_02219	TIGR00353
PROKKA_MOD_PART0_02232	TIGR03144
PROKKA_MOD_PART0_02250	TIGR03193
PROKKA_MOD_PART0_02277	TIGR00492
PROKKA_MOD_PART0_02282	TIGR00950
PROKKA_MOD_PART0_02294	TIGR02203
PROKKA_MOD_PART0_02295	TIGR02203
PROKKA_MOD_PART0_02309	TIGR00747
PROKKA_MOD_PART0_02314	TIGR00639
PROKKA_MOD_PART0_02315	TIGR00517
PROKKA_MOD_PART0_02322	TIGR00274
PROKKA_MOD_PART0_02340	TIGR00730
PROKKA_MOD_PART0_02344	TIGR01221
PROKKA_MOD_PART0_02346	TIGR00768
PROKKA_MOD_PART0_02348	TIGR01540
PROKKA_MOD_PART0_02359	TIGR00438
PROKKA_MOD_PART0_02360	TIGR00057
PROKKA_MOD_PART0_02366	TIGR00005
PROKKA_MOD_PART0_02372	TIGR02224
PROKKA_MOD_PART0_02379	TIGR00005
PROKKA_MOD_PART0_02380	TIGR00377
PROKKA_MOD_PART0_02381	TIGR01924
PROKKA_MOD_PART0_02384	TIGR03440
PROKKA_MOD_PART0_02387	TIGR03819
PROKKA_MOD_PART0_02389	TIGR01534
PROKKA_MOD_PART0_02391	TIGR02311
PROKKA_MOD_PART0_02400	TIGR03265
PROKKA_MOD_PART0_02401	TIGR00056
PROKKA_MOD_PART0_02411	TIGR02177
PROKKA_MOD_PART0_02412	TIGR00552
PROKKA_MOD_PART0_02415	TIGR02211
PROKKA_MOD_PART0_02427	TIGR00838
PROKKA_MOD_PART0_02428	TIGR01962
PROKKA_MOD_PART0_02429	TIGR01961
PROKKA_MOD_PART0_02440	TIGR02966
PROKKA_MOD_PART0_02446	TIGR03805
PROKKA_MOD_PART0_02450	TIGR03137
PROKKA_MOD_PART0_02451	TIGR00861
PROKKA_MOD_PART0_02454	TIGR00025
PROKKA_MOD_PART0_02460	TIGR02521
PROKKA_MOD_PART0_02464	TIGR00950
PROKKA_MOD_PART0_02479	TIGR03591
PROKKA_MOD_PART0_02497	TIGR00019
PROKKA_MOD_PART0_02501	TIGR02966
PROKKA_MOD_PART0_02502	TIGR02136
PROKKA_MOD_PART0_02506	TIGR01969
PROKKA_MOD_PART0_02513	TIGR00876
PROKKA_MOD_PART0_02515	TIGR00281
PROKKA_MOD_PART0_02518	TIGR02225
PROKKA_MOD_PART0_02525	TIGR00004
PROKKA_MOD_PART0_02535	TIGR01439
PROKKA_MOD_PART0_02536	TIGR01065
PROKKA_MOD_PART0_02538	TIGR02857
PROKKA_MOD_PART0_02545	TIGR01824
PROKKA_MOD_PART0_02546	TIGR01122
PROKKA_MOD_PART0_02549	TIGR02406
PROKKA_MOD_PART0_02553	TIGR03754
PROKKA_MOD_PART0_02554	TIGR01785
PROKKA_MOD_PART0_02557	TIGR00237
PROKKA_MOD_PART0_02571	TIGR01262
PROKKA_MOD_PART0_02582	TIGR03820
PROKKA_MOD_PART0_02584	TIGR03353
PROKKA_MOD_PART0_02588	TIGR03088
PROKKA_MOD_PART0_02591	TIGR00071
PROKKA_MOD_PART0_02595	TIGR00177
PROKKA_MOD_PART0_02600	TIGR01122
PROKKA_MOD_PART0_02615	TIGR02802
PROKKA_MOD_PART0_02620	TIGR01175
PROKKA_MOD_PART0_02624	TIGR03570
PROKKA_MOD_PART0_02625	TIGR04181
PROKKA_MOD_PART0_02628	TIGR03635
PROKKA_MOD_PART0_02629	TIGR01067
PROKKA_MOD_PART0_02630	TIGR01079
PROKKA_MOD_PART0_02631	TIGR02911
PROKKA_MOD_PART0_02636	TIGR02154
PROKKA_MOD_PART0_02645	TIGR00881
PROKKA_MOD_PART0_02665	TIGR02436
PROKKA_MOD_PART0_02667	TIGR00009
PROKKA_MOD_PART0_02695	TIGR03659
PROKKA_MOD_PART0_02702	TIGR01727
PROKKA_MOD_PART0_02703	TIGR02633
PROKKA_MOD_PART0_02707	TIGR00114
PROKKA_MOD_PART0_02713	TIGR00202
PROKKA_MOD_PART0_02714	TIGR00657
PROKKA_MOD_PART0_02715	TIGR00344
PROKKA_MOD_PART0_02719	TIGR01461
PROKKA_MOD_PART0_02725	TIGR00461
PROKKA_MOD_PART0_02730	TIGR03820
PROKKA_MOD_PART0_02734	TIGR00406
PROKKA_MOD_PART0_02738	TIGR00120
PROKKA_MOD_PART0_02741	TIGR00254
PROKKA_MOD_PART0_02742	TIGR00747
PROKKA_MOD_PART0_02750	TIGR04183
PROKKA_MOD_PART0_02754	TIGR00379
PROKKA_MOD_PART0_02763	TIGR01444
PROKKA_MOD_PART0_02764	TIGR04182
PROKKA_MOD_PART0_02767	TIGR03300
PROKKA_MOD_PART0_02771	TIGR01308
PROKKA_MOD_PART0_02772	TIGR01071
PROKKA_MOD_PART0_02773	TIGR00967
PROKKA_MOD_PART0_02774	TIGR01351
PROKKA_MOD_PART0_02775	TIGR00500
PROKKA_MOD_PART0_02781	TIGR01354
PROKKA_MOD_PART0_02783	TIGR02933
PROKKA_MOD_PART0_02793	TIGR02211
PROKKA_MOD_PART0_02794	TIGR00741
PROKKA_MOD_PART0_02803	TIGR03070
PROKKA_MOD_PART0_02805	TIGR01096
PROKKA_MOD_PART0_02808	TIGR03417
PROKKA_MOD_PART0_02809	TIGR02427
PROKKA_MOD_PART0_02810	TIGR03339
PROKKA_MOD_PART0_02812	TIGR00786
PROKKA_MOD_PART0_02817	TIGR01730
PROKKA_MOD_PART0_02820	TIGR02287
PROKKA_MOD_PART0_02830	TIGR00500
PROKKA_MOD_PART0_02834	TIGR03290
PROKKA_MOD_PART0_02835	TIGR01579
PROKKA_MOD_PART0_02837	TIGR00299
PROKKA_MOD_PART0_02845	TIGR04183
PROKKA_MOD_PART0_02852	TIGR00528
PROKKA_MOD_PART0_02860	TIGR00530
PROKKA_MOD_PART0_02863	TIGR00755
PROKKA_MOD_PART0_02869	TIGR01137
PROKKA_MOD_PART0_02871	TIGR03349
PROKKA_MOD_PART0_02877	TIGR01181
PROKKA_MOD_PART0_02878	TIGR01214
PROKKA_MOD_PART0_02881	TIGR02917
PROKKA_MOD_PART0_02884	TIGR00479
PROKKA_MOD_PART0_02896	TIGR00153
PROKKA_MOD_PART0_02898	TIGR03302
PROKKA_MOD_PART0_02901	TIGR02801
PROKKA_MOD_PART0_02902	TIGR02801
PROKKA_MOD_PART0_02903	TIGR02482
PROKKA_MOD_PART0_02904	TIGR01469
PROKKA_MOD_PART0_02905	TIGR01695
PROKKA_MOD_PART0_02906	TIGR03316
PROKKA_MOD_PART0_02907	TIGR01822
PROKKA_MOD_PART0_02908	TIGR00244
PROKKA_MOD_PART0_02909	TIGR00010
PROKKA_MOD_PART0_02910	TIGR00557
PROKKA_MOD_PART0_02912	TIGR01840
PROKKA_MOD_PART0_02913	TIGR00792
PROKKA_MOD_PART0_02930	TIGR03606
PROKKA_MOD_PART0_02931	TIGR03508
