PROKKA_MOD_PART0_00350	COG4962
PROKKA_MOD_PART0_00351	COG1136
PROKKA_MOD_PART0_00356	COG2332
PROKKA_MOD_PART0_00358	COG0329
PROKKA_MOD_PART0_00359	COG3533
PROKKA_MOD_PART0_00364	COG0531
PROKKA_MOD_PART0_00366	COG0341
PROKKA_MOD_PART0_00369	COG0202
PROKKA_MOD_PART0_00389	COG1794
PROKKA_MOD_PART0_00391	COG0615
PROKKA_MOD_PART0_00396	COG0060
PROKKA_MOD_PART0_00397	COG0459
PROKKA_MOD_PART0_00398	COG0234
PROKKA_MOD_PART0_00399	COG0673
PROKKA_MOD_PART0_00406	COG0681
PROKKA_MOD_PART0_00416	COG1403
PROKKA_MOD_PART0_00435	COG1459
PROKKA_MOD_PART0_00441	COG0849
PROKKA_MOD_PART0_00445	COG0623
PROKKA_MOD_PART0_00461	COG0243
PROKKA_MOD_PART0_00464	COG1290
PROKKA_MOD_PART0_00465	COG0723
PROKKA_MOD_PART0_00466	COG0745
PROKKA_MOD_PART0_00467	COG5002
PROKKA_MOD_PART0_00468	COG1283
PROKKA_MOD_PART0_00469	COG1670
PROKKA_MOD_PART0_00471	COG0845
PROKKA_MOD_PART0_00472	COG1538
PROKKA_MOD_PART0_00474	COG3350
PROKKA_MOD_PART0_00479	COG1959
PROKKA_MOD_PART0_00480	COG0642
PROKKA_MOD_PART0_00484	COG1262
PROKKA_MOD_PART0_00486	COG0750
PROKKA_MOD_PART0_00489	COG1011
PROKKA_MOD_PART0_00490	COG0515
PROKKA_MOD_PART0_00491	COG2334
PROKKA_MOD_PART0_00497	COG2353
PROKKA_MOD_PART0_00504	COG0472
PROKKA_MOD_PART0_00514	COG0823
PROKKA_MOD_PART0_00515	COG5616
PROKKA_MOD_PART0_00527	COG1598
PROKKA_MOD_PART0_00535	COG1430
PROKKA_MOD_PART0_00540	COG2202
PROKKA_MOD_PART0_00542	COG0802
PROKKA_MOD_PART0_00547	COG1413
PROKKA_MOD_PART0_00550	COG3209
PROKKA_MOD_PART0_00552	COG0577
PROKKA_MOD_PART0_00553	COG1136
PROKKA_MOD_PART0_00556	COG0004
PROKKA_MOD_PART0_00559	COG0741
PROKKA_MOD_PART0_00562	COG1595
PROKKA_MOD_PART0_00569	COG0449
PROKKA_MOD_PART0_00571	COG0297
PROKKA_MOD_PART0_00572	COG1085
PROKKA_MOD_PART0_00576	COG4198
PROKKA_MOD_PART0_00579	COG0168
PROKKA_MOD_PART0_00580	COG0168
PROKKA_MOD_PART0_00581	COG0569
PROKKA_MOD_PART0_00583	COG1032
PROKKA_MOD_PART0_00584	COG2359
PROKKA_MOD_PART0_00585	COG1302
PROKKA_MOD_PART0_00586	COG0776
PROKKA_MOD_PART0_00589	COG1062
PROKKA_MOD_PART0_00590	COG0287
PROKKA_MOD_PART0_00591	COG2199
PROKKA_MOD_PART0_00592	COG1840
PROKKA_MOD_PART0_00593	COG0609
PROKKA_MOD_PART0_00594	COG0494
PROKKA_MOD_PART0_00596	COG1664
PROKKA_MOD_PART0_00597	COG0316
PROKKA_MOD_PART0_00601	COG1132
PROKKA_MOD_PART0_00608	COG0757
PROKKA_MOD_PART0_00609	COG0337
PROKKA_MOD_PART0_00613	COG3391
PROKKA_MOD_PART0_00615	COG1028
PROKKA_MOD_PART0_00616	COG0346
PROKKA_MOD_PART0_00617	COG1028
PROKKA_MOD_PART0_00621	COG4651
PROKKA_MOD_PART0_00633	COG0667
PROKKA_MOD_PART0_00635	COG2080
PROKKA_MOD_PART0_00639	COG2264
PROKKA_MOD_PART0_00642	COG1024
PROKKA_MOD_PART0_00643	COG0363
PROKKA_MOD_PART0_00645	COG0480
PROKKA_MOD_PART0_00646	COG1416
PROKKA_MOD_PART0_00651	COG2303
PROKKA_MOD_PART0_00652	COG1185
PROKKA_MOD_PART0_00653	COG0184
PROKKA_MOD_PART0_00654	COG0130
PROKKA_MOD_PART0_00655	COG0858
PROKKA_MOD_PART0_00656	COG0532
PROKKA_MOD_PART0_00659	COG0587
PROKKA_MOD_PART0_00662	COG1660
PROKKA_MOD_PART0_00663	COG0163
PROKKA_MOD_PART0_00664	COG0365
PROKKA_MOD_PART0_00672	COG3387
PROKKA_MOD_PART0_00673	COG0668
PROKKA_MOD_PART0_00683	COG1775
PROKKA_MOD_PART0_00686	COG3181
PROKKA_MOD_PART0_00690	COG1131
PROKKA_MOD_PART0_00719	COG1146
PROKKA_MOD_PART0_00722	COG3636
PROKKA_MOD_PART0_00723	COG3657
PROKKA_MOD_PART0_00730	COG1179
PROKKA_MOD_PART0_00731	COG0084
PROKKA_MOD_PART0_00732	COG0008
PROKKA_MOD_PART0_00733	COG0451
PROKKA_MOD_PART0_00734	COG0156
PROKKA_MOD_PART0_00735	COG0209
PROKKA_MOD_PART0_00736	COG1519
PROKKA_MOD_PART0_00737	COG0204
PROKKA_MOD_PART0_00739	COG0686
PROKKA_MOD_PART0_00740	COG0802
PROKKA_MOD_PART0_00742	COG3063
PROKKA_MOD_PART0_00743	COG0694
PROKKA_MOD_PART0_00744	COG0489
PROKKA_MOD_PART0_00745	COG3695
PROKKA_MOD_PART0_00746	COG0220
PROKKA_MOD_PART0_00750	COG2026
PROKKA_MOD_PART0_00753	COG3391
PROKKA_MOD_PART0_00755	COG1576
PROKKA_MOD_PART0_00757	COG0203
PROKKA_MOD_PART0_00758	COG0102
PROKKA_MOD_PART0_00766	COG1216
PROKKA_MOD_PART0_00772	COG2110
PROKKA_MOD_PART0_00780	COG1024
PROKKA_MOD_PART0_00785	COG0134
PROKKA_MOD_PART0_00790	COG4623
PROKKA_MOD_PART0_00791	COG3596
PROKKA_MOD_PART0_00793	COG3119
PROKKA_MOD_PART0_00803	COG0457
PROKKA_MOD_PART0_00816	COG4948
PROKKA_MOD_PART0_00818	COG0749
PROKKA_MOD_PART0_00822	COG1228
PROKKA_MOD_PART0_00828	COG0773
PROKKA_MOD_PART0_00829	COG2802
PROKKA_MOD_PART0_00830	COG0586
PROKKA_MOD_PART0_00831	COG1028
PROKKA_MOD_PART0_00832	COG0001
PROKKA_MOD_PART0_00833	COG1773
PROKKA_MOD_PART0_00834	COG1983
PROKKA_MOD_PART0_00835	COG1409
PROKKA_MOD_PART0_00836	COG1430
PROKKA_MOD_PART0_00845	COG0204
PROKKA_MOD_PART0_00846	COG0599
PROKKA_MOD_PART0_00850	COG0270
PROKKA_MOD_PART0_00851	COG0066
PROKKA_MOD_PART0_00861	COG1104
PROKKA_MOD_PART0_00864	COG2146
PROKKA_MOD_PART0_00866	COG0708
PROKKA_MOD_PART0_00868	COG4974
PROKKA_MOD_PART0_00871	COG1612
PROKKA_MOD_PART0_00874	COG0535
PROKKA_MOD_PART0_00875	COG1208
PROKKA_MOD_PART0_00878	COG4806
PROKKA_MOD_PART0_00879	COG0235
PROKKA_MOD_PART0_00880	COG1070
PROKKA_MOD_PART0_00881	COG2160
PROKKA_MOD_PART0_00882	COG0407
PROKKA_MOD_PART0_00886	COG2870
PROKKA_MOD_PART0_00897	COG2360
PROKKA_MOD_PART0_00898	COG2127
PROKKA_MOD_PART0_00901	COG0444
PROKKA_MOD_PART0_00902	COG4608
PROKKA_MOD_PART0_00905	COG0475
PROKKA_MOD_PART0_00907	COG3869
PROKKA_MOD_PART0_00911	COG0506
PROKKA_MOD_PART0_00929	COG2148
PROKKA_MOD_PART0_00934	COG1259
PROKKA_MOD_PART0_00936	COG2226
PROKKA_MOD_PART0_00937	COG0403
PROKKA_MOD_PART0_00938	COG0218
PROKKA_MOD_PART0_00943	COG0667
PROKKA_MOD_PART0_00944	COG2814
PROKKA_MOD_PART0_00945	COG1032
PROKKA_MOD_PART0_00954	COG0182
PROKKA_MOD_PART0_00956	COG0608
PROKKA_MOD_PART0_00959	COG1622
PROKKA_MOD_PART0_00961	COG2863
PROKKA_MOD_PART0_00962	COG2322
PROKKA_MOD_PART0_00964	COG1884
PROKKA_MOD_PART0_00968	COG0489
PROKKA_MOD_PART0_00970	COG3063
PROKKA_MOD_PART0_00974	COG0607
PROKKA_MOD_PART0_00977	COG0728
PROKKA_MOD_PART0_00978	COG1610
PROKKA_MOD_PART0_00980	COG5009
PROKKA_MOD_PART0_00982	COG1916
PROKKA_MOD_PART0_00985	COG3324
PROKKA_MOD_PART0_00989	COG0474
PROKKA_MOD_PART0_01002	COG0338
PROKKA_MOD_PART0_01007	COG1740
PROKKA_MOD_PART0_01016	COG1941
PROKKA_MOD_PART0_01017	COG3259
PROKKA_MOD_PART0_01018	COG0680
PROKKA_MOD_PART0_01021	COG0777
PROKKA_MOD_PART0_01022	COG0825
PROKKA_MOD_PART0_01023	COG5016
PROKKA_MOD_PART0_01025	COG0463
PROKKA_MOD_PART0_01026	COG2426
PROKKA_MOD_PART0_01028	COG0662
PROKKA_MOD_PART0_01030	COG0033
PROKKA_MOD_PART0_01033	COG2450
PROKKA_MOD_PART0_01038	COG4586
PROKKA_MOD_PART0_01049	COG0177
PROKKA_MOD_PART0_01051	COG0654
PROKKA_MOD_PART0_01052	COG3473
PROKKA_MOD_PART0_01061	COG3794
PROKKA_MOD_PART0_01064	COG1225
PROKKA_MOD_PART0_01068	COG1278
PROKKA_MOD_PART0_01077	COG1914
PROKKA_MOD_PART0_01092	COG0075
PROKKA_MOD_PART0_01093	COG2020
PROKKA_MOD_PART0_01094	COG4032
PROKKA_MOD_PART0_01095	COG2513
PROKKA_MOD_PART0_01096	COG1213
PROKKA_MOD_PART0_01097	COG2873
PROKKA_MOD_PART0_01098	COG1897
PROKKA_MOD_PART0_01099	COG1185
PROKKA_MOD_PART0_01105	COG0169
PROKKA_MOD_PART0_01111	COG3291
PROKKA_MOD_PART0_01113	COG3080
PROKKA_MOD_PART0_01116	COG2801
PROKKA_MOD_PART0_01117	COG0294
PROKKA_MOD_PART0_01118	COG1624
PROKKA_MOD_PART0_01120	COG0708
PROKKA_MOD_PART0_01128	COG0706
PROKKA_MOD_PART0_01130	COG0673
PROKKA_MOD_PART0_01131	COG1278
PROKKA_MOD_PART0_01135	COG3657
PROKKA_MOD_PART0_01136	COG3636
PROKKA_MOD_PART0_01140	COG1520
PROKKA_MOD_PART0_01141	COG1386
PROKKA_MOD_PART0_01142	COG1354
PROKKA_MOD_PART0_01144	COG0710
PROKKA_MOD_PART0_01147	COG1814
PROKKA_MOD_PART0_01150	COG0463
PROKKA_MOD_PART0_01161	COG1520
PROKKA_MOD_PART0_01164	COG0517
PROKKA_MOD_PART0_01170	COG0436
PROKKA_MOD_PART0_01172	COG0127
PROKKA_MOD_PART0_01174	COG2885
PROKKA_MOD_PART0_01193	COG0462
PROKKA_MOD_PART0_01198	COG0399
PROKKA_MOD_PART0_01207	COG1487
PROKKA_MOD_PART0_01221	COG0607
PROKKA_MOD_PART0_01225	COG0528
PROKKA_MOD_PART0_01230	COG0589
PROKKA_MOD_PART0_01231	COG1360
PROKKA_MOD_PART0_01232	COG1970
PROKKA_MOD_PART0_01234	COG0708
PROKKA_MOD_PART0_01235	COG1862
PROKKA_MOD_PART0_01236	COG2515
PROKKA_MOD_PART0_01237	COG1115
PROKKA_MOD_PART0_01243	COG2405
PROKKA_MOD_PART0_01245	COG0463
PROKKA_MOD_PART0_01250	COG1132
PROKKA_MOD_PART0_01253	COG3317
PROKKA_MOD_PART0_01257	COG2070
PROKKA_MOD_PART0_01269	COG0859
PROKKA_MOD_PART0_01270	COG0241
PROKKA_MOD_PART0_01271	COG2870
PROKKA_MOD_PART0_01275	COG4679
PROKKA_MOD_PART0_01280	COG0666
PROKKA_MOD_PART0_01289	COG0002
PROKKA_MOD_PART0_01299	COG1792
PROKKA_MOD_PART0_01300	COG2891
PROKKA_MOD_PART0_01301	COG0424
PROKKA_MOD_PART0_01302	COG1530
PROKKA_MOD_PART0_01304	COG0006
PROKKA_MOD_PART0_01306	COG2835
PROKKA_MOD_PART0_01310	COG0665
PROKKA_MOD_PART0_01313	COG0251
PROKKA_MOD_PART0_01316	COG0265
PROKKA_MOD_PART0_01320	COG2801
PROKKA_MOD_PART0_01323	COG1104
PROKKA_MOD_PART0_01324	COG0379
PROKKA_MOD_PART0_01329	COG1366
PROKKA_MOD_PART0_01332	COG2195
PROKKA_MOD_PART0_01338	COG0701
PROKKA_MOD_PART0_01346	COG3629
PROKKA_MOD_PART0_01348	COG0524
PROKKA_MOD_PART0_01352	COG0681
PROKKA_MOD_PART0_01353	COG3386
PROKKA_MOD_PART0_01354	COG2055
PROKKA_MOD_PART0_01355	COG1402
PROKKA_MOD_PART0_01356	COG2407
PROKKA_MOD_PART0_01361	COG0667
PROKKA_MOD_PART0_01370	COG1883
PROKKA_MOD_PART0_01371	COG0611
PROKKA_MOD_PART0_01372	COG0802
PROKKA_MOD_PART0_01373	COG0683
PROKKA_MOD_PART0_01379	COG1482
PROKKA_MOD_PART0_01380	COG0572
PROKKA_MOD_PART0_01382	COG0596
PROKKA_MOD_PART0_01385	COG2755
PROKKA_MOD_PART0_01396	COG2951
PROKKA_MOD_PART0_01397	COG0772
PROKKA_MOD_PART0_01398	COG0768
PROKKA_MOD_PART0_01399	COG2891
PROKKA_MOD_PART0_01400	COG1792
PROKKA_MOD_PART0_01401	COG1077
PROKKA_MOD_PART0_01402	COG0721
PROKKA_MOD_PART0_01403	COG0154
PROKKA_MOD_PART0_01404	COG0064
PROKKA_MOD_PART0_01405	COG1281
PROKKA_MOD_PART0_01406	COG2226
PROKKA_MOD_PART0_01410	COG1028
PROKKA_MOD_PART0_01411	COG0331
PROKKA_MOD_PART0_01412	COG0332
PROKKA_MOD_PART0_01413	COG0416
PROKKA_MOD_PART0_01414	COG0333
PROKKA_MOD_PART0_01420	COG1516
PROKKA_MOD_PART0_01424	COG2141
PROKKA_MOD_PART0_01425	COG3876
PROKKA_MOD_PART0_01426	COG3791
PROKKA_MOD_PART0_01427	COG3315
PROKKA_MOD_PART0_01439	COG0515
PROKKA_MOD_PART0_01440	COG1032
PROKKA_MOD_PART0_01441	COG0642
PROKKA_MOD_PART0_01442	COG2204
PROKKA_MOD_PART0_01446	COG2097
PROKKA_MOD_PART0_01449	COG0130
PROKKA_MOD_PART0_01450	COG1249
PROKKA_MOD_PART0_01452	COG0022
PROKKA_MOD_PART0_01454	COG0402
PROKKA_MOD_PART0_01455	COG0625
PROKKA_MOD_PART0_01456	COG1376
PROKKA_MOD_PART0_01462	COG1670
PROKKA_MOD_PART0_01463	COG0624
PROKKA_MOD_PART0_01464	COG1834
PROKKA_MOD_PART0_01465	COG0520
PROKKA_MOD_PART0_01467	COG1846
PROKKA_MOD_PART0_01468	COG1801
PROKKA_MOD_PART0_01469	COG2133
PROKKA_MOD_PART0_01470	COG0672
PROKKA_MOD_PART0_01480	COG3436
PROKKA_MOD_PART0_01481	COG3436
PROKKA_MOD_PART0_01487	COG0459
PROKKA_MOD_PART0_01491	COG0583
PROKKA_MOD_PART0_01492	COG0583
PROKKA_MOD_PART0_01494	COG2755
PROKKA_MOD_PART0_01502	COG1309
PROKKA_MOD_PART0_01509	COG3439
PROKKA_MOD_PART0_01514	COG0591
PROKKA_MOD_PART0_01521	COG3676
PROKKA_MOD_PART0_01522	COG0438
PROKKA_MOD_PART0_01524	COG0082
PROKKA_MOD_PART0_01525	COG2350
PROKKA_MOD_PART0_01527	COG1058
PROKKA_MOD_PART0_01528	COG0421
PROKKA_MOD_PART0_01544	COG4636
PROKKA_MOD_PART0_01547	COG0182
PROKKA_MOD_PART0_01548	COG1328
PROKKA_MOD_PART0_01550	COG1180
PROKKA_MOD_PART0_01552	COG0156
PROKKA_MOD_PART0_01565	COG4608
PROKKA_MOD_PART0_01567	COG1487
PROKKA_MOD_PART0_01568	COG1305
PROKKA_MOD_PART0_01572	COG0553
PROKKA_MOD_PART0_01580	COG0171
PROKKA_MOD_PART0_01586	COG1917
PROKKA_MOD_PART0_01587	COG3123
PROKKA_MOD_PART0_01589	COG0043
PROKKA_MOD_PART0_01592	COG0846
PROKKA_MOD_PART0_01596	COG2885
PROKKA_MOD_PART0_01606	COG0760
PROKKA_MOD_PART0_01613	COG4591
PROKKA_MOD_PART0_01615	COG0651
PROKKA_MOD_PART0_01616	COG1006
PROKKA_MOD_PART0_01619	COG5304
PROKKA_MOD_PART0_01625	COG0298
PROKKA_MOD_PART0_01626	COG0680
PROKKA_MOD_PART0_01628	COG4704
PROKKA_MOD_PART0_01633	COG0596
PROKKA_MOD_PART0_01636	COG1596
PROKKA_MOD_PART0_01646	COG1235
PROKKA_MOD_PART0_01647	COG0196
PROKKA_MOD_PART0_01649	COG0215
PROKKA_MOD_PART0_01650	COG1748
PROKKA_MOD_PART0_01653	COG4662
PROKKA_MOD_PART0_01654	COG2141
PROKKA_MOD_PART0_01658	COG4126
PROKKA_MOD_PART0_01664	COG2249
PROKKA_MOD_PART0_01665	COG1335
PROKKA_MOD_PART0_01668	COG1321
PROKKA_MOD_PART0_01670	COG3657
PROKKA_MOD_PART0_01671	COG3636
PROKKA_MOD_PART0_01677	COG1595
PROKKA_MOD_PART0_01678	COG0026
PROKKA_MOD_PART0_01679	COG0041
PROKKA_MOD_PART0_01681	COG0583
PROKKA_MOD_PART0_01682	COG0412
PROKKA_MOD_PART0_01686	COG0304
PROKKA_MOD_PART0_01690	COG0489
PROKKA_MOD_PART0_01693	COG3304
PROKKA_MOD_PART0_01695	COG1150
PROKKA_MOD_PART0_01696	COG5561
PROKKA_MOD_PART0_01700	COG1131
PROKKA_MOD_PART0_01701	COG2386
PROKKA_MOD_PART0_01709	COG3200
PROKKA_MOD_PART0_01710	COG1274
PROKKA_MOD_PART0_01722	COG1131
PROKKA_MOD_PART0_01723	COG0515
PROKKA_MOD_PART0_01726	COG0642
PROKKA_MOD_PART0_01729	COG0373
PROKKA_MOD_PART0_01734	COG2207
PROKKA_MOD_PART0_01744	COG4196
PROKKA_MOD_PART0_01745	COG0372
PROKKA_MOD_PART0_01750	COG0772
PROKKA_MOD_PART0_01751	COG0768
PROKKA_MOD_PART0_01760	COG1596
PROKKA_MOD_PART0_01761	COG0118
PROKKA_MOD_PART0_01767	COG0280
PROKKA_MOD_PART0_01770	COG2150
PROKKA_MOD_PART0_01773	COG1180
PROKKA_MOD_PART0_01780	COG1694
PROKKA_MOD_PART0_01784	COG0141
PROKKA_MOD_PART0_01785	COG0079
PROKKA_MOD_PART0_01786	COG0241
PROKKA_MOD_PART0_01793	COG0438
PROKKA_MOD_PART0_01794	COG0438
PROKKA_MOD_PART0_01803	COG0094
PROKKA_MOD_PART0_01804	COG0198
PROKKA_MOD_PART0_01805	COG2843
PROKKA_MOD_PART0_01806	COG1541
PROKKA_MOD_PART0_01808	COG4948
PROKKA_MOD_PART0_01810	COG0256
PROKKA_MOD_PART0_01811	COG2147
PROKKA_MOD_PART0_01812	COG1717
PROKKA_MOD_PART0_01813	COG0097
PROKKA_MOD_PART0_01814	COG0096
PROKKA_MOD_PART0_01815	COG0199
PROKKA_MOD_PART0_01816	COG0094
PROKKA_MOD_PART0_01818	COG2002
PROKKA_MOD_PART0_01819	COG0848
PROKKA_MOD_PART0_01823	COG1305
PROKKA_MOD_PART0_01824	COG0701
PROKKA_MOD_PART0_01831	COG0537
PROKKA_MOD_PART0_01832	COG0550
PROKKA_MOD_PART0_01835	COG0642
PROKKA_MOD_PART0_01836	COG0745
PROKKA_MOD_PART0_01837	COG2835
PROKKA_MOD_PART0_01838	COG1960
PROKKA_MOD_PART0_01839	COG1960
PROKKA_MOD_PART0_01841	COG0437
PROKKA_MOD_PART0_01842	COG5557
PROKKA_MOD_PART0_01846	COG0705
PROKKA_MOD_PART0_01847	COG0579
PROKKA_MOD_PART0_01855	COG1670
PROKKA_MOD_PART0_01864	COG0664
PROKKA_MOD_PART0_01868	COG0044
PROKKA_MOD_PART0_01873	COG2067
PROKKA_MOD_PART0_01874	COG0640
PROKKA_MOD_PART0_01876	COG1522
PROKKA_MOD_PART0_01880	COG0147
PROKKA_MOD_PART0_01882	COG1136
PROKKA_MOD_PART0_01895	COG0240
PROKKA_MOD_PART0_01896	COG1228
PROKKA_MOD_PART0_01897	COG0006
PROKKA_MOD_PART0_01902	COG1233
PROKKA_MOD_PART0_01904	COG2059
PROKKA_MOD_PART0_01909	COG0325
PROKKA_MOD_PART0_01911	COG0664
PROKKA_MOD_PART0_01917	COG1758
PROKKA_MOD_PART0_01918	COG0234
PROKKA_MOD_PART0_01921	COG0438
PROKKA_MOD_PART0_01922	COG4671
PROKKA_MOD_PART0_01924	COG0747
PROKKA_MOD_PART0_01925	COG0601
PROKKA_MOD_PART0_01926	COG1173
PROKKA_MOD_PART0_01927	COG0444
PROKKA_MOD_PART0_01930	COG2716
PROKKA_MOD_PART0_01949	COG1940
PROKKA_MOD_PART0_01950	COG0640
PROKKA_MOD_PART0_01951	COG1171
PROKKA_MOD_PART0_01952	COG0041
PROKKA_MOD_PART0_01953	COG0026
PROKKA_MOD_PART0_01959	COG0516
PROKKA_MOD_PART0_01962	COG3267
PROKKA_MOD_PART0_01965	COG0697
PROKKA_MOD_PART0_01970	COG1180
PROKKA_MOD_PART0_01971	COG3185
PROKKA_MOD_PART0_01972	COG3508
PROKKA_MOD_PART0_01973	COG5276
PROKKA_MOD_PART0_01987	COG1834
PROKKA_MOD_PART0_01988	COG1574
PROKKA_MOD_PART0_01995	COG1360
PROKKA_MOD_PART0_01998	COG3740
PROKKA_MOD_PART0_02014	COG0642
PROKKA_MOD_PART0_02015	COG5001
PROKKA_MOD_PART0_02016	COG1309
PROKKA_MOD_PART0_02024	COG0131
PROKKA_MOD_PART0_02027	COG0532
PROKKA_MOD_PART0_02028	COG0858
PROKKA_MOD_PART0_02030	COG0789
PROKKA_MOD_PART0_02039	COG5361
PROKKA_MOD_PART0_02042	COG0358
PROKKA_MOD_PART0_02055	COG0845
PROKKA_MOD_PART0_02064	COG2199
PROKKA_MOD_PART0_02070	COG1230
PROKKA_MOD_PART0_02074	COG0291
PROKKA_MOD_PART0_02075	COG0441
PROKKA_MOD_PART0_02080	COG2041
PROKKA_MOD_PART0_02081	COG2717
PROKKA_MOD_PART0_02082	COG0591
PROKKA_MOD_PART0_02083	COG1916
PROKKA_MOD_PART0_02095	COG0247
PROKKA_MOD_PART0_02097	COG3253
PROKKA_MOD_PART0_02110	COG0438
PROKKA_MOD_PART0_02118	COG0393
PROKKA_MOD_PART0_02122	COG1386
PROKKA_MOD_PART0_02125	COG0367
PROKKA_MOD_PART0_02128	COG0395
PROKKA_MOD_PART0_02137	COG0468
PROKKA_MOD_PART0_02146	COG1058
PROKKA_MOD_PART0_02153	COG0411
PROKKA_MOD_PART0_02157	COG1030
PROKKA_MOD_PART0_02158	COG2226
PROKKA_MOD_PART0_02164	COG0063
PROKKA_MOD_PART0_02174	COG2326
PROKKA_MOD_PART0_02188	COG3326
PROKKA_MOD_PART0_02191	COG1735
PROKKA_MOD_PART0_02192	COG0313
PROKKA_MOD_PART0_02193	COG0171
PROKKA_MOD_PART0_02194	COG0388
PROKKA_MOD_PART0_02195	COG1063
PROKKA_MOD_PART0_02199	COG1007
PROKKA_MOD_PART0_02200	COG1008
PROKKA_MOD_PART0_02201	COG1009
PROKKA_MOD_PART0_02202	COG0713
PROKKA_MOD_PART0_02203	COG0839
PROKKA_MOD_PART0_02204	COG1143
PROKKA_MOD_PART0_02205	COG1005
PROKKA_MOD_PART0_02206	COG0649
PROKKA_MOD_PART0_02207	COG0852
PROKKA_MOD_PART0_02208	COG0377
PROKKA_MOD_PART0_02209	COG0838
PROKKA_MOD_PART0_02210	COG1120
PROKKA_MOD_PART0_02211	COG0609
PROKKA_MOD_PART0_02212	COG0614
PROKKA_MOD_PART0_02213	COG1007
PROKKA_MOD_PART0_02214	COG1008
PROKKA_MOD_PART0_02216	COG1032
PROKKA_MOD_PART0_02217	COG2197
PROKKA_MOD_PART0_02218	COG4585
PROKKA_MOD_PART0_02219	COG1138
PROKKA_MOD_PART0_02221	COG0537
PROKKA_MOD_PART0_02230	COG2253
PROKKA_MOD_PART0_02231	COG5340
