Id	Description
1.1.2.4	D-lactate dehydrogenase (cytochrome)
1.1.2.7	Methanol dehydrogenase (cytochrome c)
1.1.3.-	With oxygen as acceptor.
1.1.3.6	Cholesterol oxidase
1.1.3.9	Galactose oxidase
1.1.4.-	With a disulfide as acceptor.
1.1.4.1	Transferred entry: 1.17.4.4
1.1.5.-	With a quinone or similar compound as acceptor.
1.1.5.2	Quinoprotein glucose dehydrogenase (PQQ, quinone)
1.1.5.3	Glycerol-3-phosphate dehydrogenase
1.1.5.4	Malate dehydrogenase (quinone)
1.1.9.-	With a copper protein as acceptor.
1.1.98.-	With other, known, acceptors.
1.1.99.-	With other acceptors.
1.1.99.1	Choline dehydrogenase
1.1.99.28	Glucose-fructose oxidoreductase
1.1.99.3	Gluconate 2-dehydrogenase (acceptor)
1.10.-.-	Acting on diphenols and related substances as donors.
1.10.1.-	With NAD(+) or NADP(+) as acceptor.
1.10.2.-	With a cytochrome as acceptor.
1.10.2.2	Quinol--cytochrome-c reductase
1.10.3.-	With oxygen as acceptor.
1.10.3.12	Menaquinol oxidase (H(+)-transporting)
1.10.5.-	With a quinone or related compound as acceptor.
1.10.9.-	With a copper protein as acceptor.
1.10.9.1	Plastoquinol--plastocyanin reductase
1.10.98.-	With other, known, acceptors.
1.10.99.-	With other acceptors.
1.10.99.3	Transferred entry: 1.23.5.1
1.11.-.-	Acting on a peroxide as acceptor.
1.11.1.-	Peroxidases.
1.11.1.10	Chloride peroxidase
1.11.1.11	L-ascorbate peroxidase
1.11.1.12	Phospholipid-hydroperoxide glutathione peroxidase
1.11.1.15	Peroxiredoxin
1.11.1.20	Prostamide/prostaglandin F(2-alpha) synthase
1.11.1.21	Catalase peroxidase
1.11.1.5	Cytochrome-c peroxidase
1.11.1.6	Catalase
1.11.1.7	Peroxidase
1.11.1.9	Glutathione peroxidase
1.11.2.-	With H(2)O(2) as acceptor, one oxygen atom of which is incorporated into the product.
1.12.-.-	Acting on hydrogen as donors.
1.12.1.-	With NAD(+) or NADP(+) as acceptor.
1.12.2.-	With a cytochrome as acceptor.
1.12.5.-	With a quinone or similar compound as acceptor.
1.12.7.-	With an iron-sulfur protein as acceptor.
1.12.7.2	Ferredoxin hydrogenase
1.12.98.-	With other, known, acceptors.
1.12.98.1	Coenzyme F420 hydrogenase
1.12.99.-	With other acceptors.
1.12.99.6	Hydrogenase (acceptor)
1.13.-.-	Acting on single donors with incorporation of molecular oxygen (oxygenases).The oxygen incorporated need not be derived from O(2).
1.13.1.-	With NADH or NADPH as one donor.
1.13.11.-	With incorporation of two atoms of oxygen.
1.13.11.11	Tryptophan 2,3-dioxygenase
1.13.11.15	3,4-dihydroxyphenylacetate 2,3-dioxygenase
1.13.11.19	Cysteamine dioxygenase
1.13.11.2	Catechol 2,3-dioxygenase
1.13.11.20	Cysteine dioxygenase
1.13.11.24	Quercetin 2,3-dioxygenase
1.13.11.25	3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase
1.13.11.27	4-hydroxyphenylpyruvate dioxygenase
1.13.11.3	Protocatechuate 3,4-dioxygenase
1.13.11.39	Biphenyl-2,3-diol 1,2-dioxygenase
1.13.11.4	Gentisate 1,2-dioxygenase
1.13.11.41	2,4'-dihydroxyacetophenone dioxygenase
1.13.11.5	Homogentisate 1,2-dioxygenase
1.13.11.52	Indoleamine 2,3-dioxygenase
1.13.11.53	Acireductone dioxygenase (Ni(2+)-requiring)
1.13.11.54	Acireductone dioxygenase (Fe(2+)-requiring)
1.13.11.58	Linoleate 9S-lipoxygenase
1.13.11.6	3-hydroxyanthranilate 3,4-dioxygenase
1.13.11.8	Protocatechuate 4,5-dioxygenase
1.13.12.-	With incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases).
1.13.12.16	Nitronate monooxygenase
1.13.12.3	Tryptophan 2-monooxygenase
1.13.99.-	Miscellaneous.
1.13.99.1	Inositol oxygenase
1.14.-.-	Acting on paired donors, with incorporation or reduction of molecular oxygen.The oxygen incorporated need not be derived from O(2).
1.14.1.-	With NADH or NADPH as one donor.
1.14.11.-	With 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors.
1.14.11.16	Peptide-aspartate beta-dioxygenase
1.14.11.17	Taurine dioxygenase
1.14.11.18	Phytanoyl-CoA dioxygenase
1.14.11.2	Procollagen-proline dioxygenase
1.14.11.21	Clavaminate synthase
1.14.11.27	[Histone H3]-lysine-36 demethylase
1.14.11.4	Procollagen-lysine 5-dioxygenase
1.14.12.-	With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor.
1.14.12.1	Anthranilate 1,2-dioxygenase (deaminating, decarboxylating)
1.14.12.10	Benzoate 1,2-dioxygenase
1.14.12.12	Naphthalene 1,2-dioxygenase
1.14.12.17	Nitric oxide dioxygenase
1.14.12.7	Phthalate 4,5-dioxygenase
1.14.13.-	With NADH or NADPH as one donor, and incorporation of one atom of oxygen.
1.14.13.1	Salicylate 1-monooxygenase
1.14.13.107	Limonene 1,2-monooxygenase
1.14.13.111	Methanesulfonate monooxygenase (NADH)
1.14.13.129	Beta-carotene 3-hydroxylase
1.14.13.149	Phenylacetyl-CoA 1,2-epoxidase
1.14.13.2	4-hydroxybenzoate 3-monooxygenase
1.14.13.25	Methane monooxygenase (soluble)
1.14.13.39	Nitric-oxide synthase (NADPH)
1.14.13.59	L-lysine N(6)-monooxygenase (NADPH)
1.14.13.7	Phenol 2-monooxygenase (NADPH)
1.14.13.70	Sterol 14-alpha-demethylase
1.14.13.8	Flavin-containing monooxygenase
1.14.13.81	Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
1.14.13.82	Vanillate monooxygenase
1.14.13.9	Kynurenine 3-monooxygenase
1.14.14.-	With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen.
1.14.14.1	Unspecific monooxygenase
1.14.14.12	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase
1.14.14.3	Bacterial luciferase
1.14.14.5	Alkanesulfonate monooxygenase
1.14.14.7	Transferred entry: 1.14.19.9
1.14.14.9	4-hydroxyphenylacetate 3-monooxygenase
1.14.15.-	With reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen.
1.14.15.3	Alkane 1-monooxygenase
1.14.15.9	Spheroidene monooxygenase
1.14.16.-	With reduced pteridine as one donor, and incorporation of one atom of oxygen.
1.14.16.1	Phenylalanine 4-monooxygenase
1.14.17.-	With reduced ascorbate as one donor, and incorporation of one atom of oxygen.
1.14.17.1	Dopamine beta-monooxygenase
1.14.17.3	Peptidylglycine monooxygenase
1.14.18.-	With another compound as one donor, and incorporation of one atom of oxygen.
1.14.18.1	Tyrosinase
1.14.18.2	CMP-N-acetylneuraminate monooxygenase
1.14.18.3	Methane monooxygenase (particulate)
1.14.19.-	With oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water.
1.14.19.1	Stearoyl-CoA 9-desaturase
1.14.19.2	Stearoyl-[acyl-carrier-protein] 9-desaturase
1.14.19.4	Acyl-lipid (11-3)-desaturase
1.14.2.-	With ascorbate as one donor.
1.14.20.-	With 2-oxoglutarate as one donor, and the other dehydrogenated.
1.14.21.-	With NADH or NADPH as one donor, and the other dehydrogenated.
1.14.3.-	With reduced pteridine as one donor.
1.14.99.-	Miscellaneous.
1.14.99.1	Prostaglandin-endoperoxide synthase
1.14.99.22	Ecdysone 20-monooxygenase
1.14.99.3	Transferred entry: 1.14.14.18
1.14.99.39	Ammonia monooxygenase
1.15.-.-	Acting on superoxide as acceptor.
1.15.1.-	Acting on superoxide as acceptor.
1.15.1.1	Superoxide dismutase
1.15.1.2	Superoxide reductase
1.16.-.-	Oxidizing metal ions.
1.16.1.-	With NAD(+) or NADP(+) as acceptor.
1.16.1.1	Mercury(II) reductase
1.16.1.9	Ferric-chelate reductase (NADPH)
1.16.3.-	With oxygen as acceptor.
1.16.3.1	Ferroxidase
1.16.5.-	With a quinone or similar compound as acceptor.
1.16.8.-	With a flavin as acceptor.
1.16.9.-	With a copper protein as acceptor.
1.16.98.-	With other known acceptors.
1.17.-.-	Acting on CH or CH(2) groups.
1.17.1.-	With NAD(+) or NADP(+) as acceptor.
1.17.1.2	Transferred entry: 1.17.7.4
1.17.1.4	Xanthine dehydrogenase
1.17.1.7	Transferred entry: 1.2.1.91
1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase
1.17.2.-	With a cytochrome as acceptor.
1.17.3.-	With oxygen as acceptor.
1.17.4.-	With a disulfide as acceptor.
1.17.4.1	Ribonucleoside-diphosphate reductase
1.17.4.2	Ribonucleoside-triphosphate reductase
1.17.5.-	With a quinone or similar compound as acceptor.
1.17.7.-	With an iron-sulfur protein as acceptor.
1.17.7.1	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin)
1.17.8.-	With a flavin as acceptor.
1.17.98.-	With other, known, acceptors.
1.17.99.-	With other acceptors.
1.18.-.-	Acting on iron-sulfur proteins as donors.
1.18.1.-	With NAD(+) or NADP(+) as acceptor.
1.18.1.1	Rubredoxin--NAD(+) reductase
1.18.1.2	Ferredoxin--NADP(+) reductase
1.18.1.3	Ferredoxin--NAD(+) reductase
1.18.2.-	With dinitrogen as acceptor.
1.18.3.-	With H(+) as acceptor.
1.18.6.-	With dinitrogen as acceptor.
1.18.6.1	Nitrogenase
1.18.96.-	With other, known, acceptors.
1.18.99.-	With H(+) as acceptor.
1.19.-.-	Acting on reduced flavodoxin as donor.
1.19.1.-	With NAD(+) or NADP(+) as acceptor.
1.19.6.-	With dinitrogen as acceptor.
1.2.-.-	Acting on the aldehyde or oxo group of donors.
1.2.1.-	With NAD(+) or NADP(+) as acceptor.
1.2.1.10	Acetaldehyde dehydrogenase (acetylating)
1.2.1.11	Aspartate-semialdehyde dehydrogenase
1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
1.2.1.16	Succinate-semialdehyde dehydrogenase (NAD(P)(+))
1.2.1.18	Malonate-semialdehyde dehydrogenase (acetylating)
1.2.1.2	Formate dehydrogenase
1.2.1.27	Methylmalonate-semialdehyde dehydrogenase (CoA acylating)
1.2.1.3	Aldehyde dehydrogenase (NAD(+))
1.2.1.31	L-aminoadipate-semialdehyde dehydrogenase
1.2.1.38	N-acetyl-gamma-glutamyl-phosphate reductase
1.2.1.4	Aldehyde dehydrogenase (NADP(+))
1.2.1.41	Glutamate-5-semialdehyde dehydrogenase
1.2.1.5	Aldehyde dehydrogenase (NAD(P)(+))
1.2.1.50	Long-chain-fatty-acyl-CoA reductase
1.2.1.70	Glutamyl-tRNA reductase
1.2.1.80	Long-chain acyl-[acyl-carrier-protein] reductase
1.2.2.-	With a cytochrome as acceptor.
1.2.3.-	With oxygen as acceptor.
1.2.4.-	With a disulfide as acceptor.
1.2.4.1	Pyruvate dehydrogenase (acetyl-transferring)
1.2.4.2	Oxoglutarate dehydrogenase (succinyl-transferring)
1.2.5.-	With a quinone or similar compound as acceptor.
1.2.7.-	With an iron-sulfur protein as acceptor.
1.2.7.1	Pyruvate synthase
1.2.7.3	2-oxoglutarate synthase
1.2.7.4	Anaerobic carbon-monoxide dehydrogenase
1.2.7.5	Aldehyde ferredoxin oxidoreductase
1.2.7.8	Indolepyruvate ferredoxin oxidoreductase
1.2.98.-	With other, known, acceptors.
1.2.99.-	With other acceptors.
1.2.99.2	Carbon-monoxide dehydrogenase (acceptor)
1.2.99.5	Formylmethanofuran dehydrogenase
1.20.-.-	Acting on phosphorus or arsenic in donors.
1.20.1.-	With NAD(+) or NADP(+) as acceptor.
1.20.2.-	With a cytochrome as acceptor.
1.20.4.-	With disulfide as acceptor.
1.20.4.1	Arsenate reductase (glutaredoxin)
1.20.9.-	With a copper protein as acceptor.
1.20.98.-	With other, known acceptors.
1.20.99.-	With other acceptors.
1.21.-.-	Catalyzing the reaction X-H + Y-H = 'X-Y'.
1.21.1.-	With NAD(+) or NADP(+) as acceptor.
1.21.3.-	With oxygen as acceptor.
1.21.4.-	With a disulfide as acceptor.
1.21.4.1	D-proline reductase (dithiol)
1.21.4.2	Glycine reductase
1.21.4.3	Sarcosine reductase
1.21.4.4	Betaine reductase
1.21.98.-	With other, known acceptors.
1.21.99.-	With other acceptors.
1.22.-.-	Acting on halogen in donors.
1.22.1.-	With NAD(+) or NADP(+) as acceptor.
1.23.-.-	Reducing C-O-C group as acceptor.
1.23.1.-	With NADH or NADPH as donor.
1.23.5.-	With a quinone or similar compound as acceptor.
1.3.-.-	Acting on the CH-CH group of donors.
1.3.1.-	With NAD(+) or NADP(+) as acceptor.
1.3.1.10	Enoyl-[acyl-carrier-protein] reductase (NADPH, Si-specific)
1.3.1.12	Prephenate dehydrogenase
1.3.1.22	3-oxo-5-alpha-steroid 4-dehydrogenase (NADP(+))
1.3.1.24	Biliverdin reductase
1.3.1.25	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase
1.3.1.34	2,4-dienoyl-CoA reductase (NADPH)
1.3.1.35	Transferred entry: 1.14.19.22
1.3.1.45	2'-hydroxyisoflavone reductase
1.3.1.48	15-oxoprostaglandin 13-reductase
1.3.1.54	Precorrin-6A reductase
1.3.1.71	Delta(24(24(1)))-sterol reductase
1.3.1.72	Delta(24)-sterol reductase
1.3.1.74	2-alkenal reductase (NAD(P)(+))
1.3.1.76	Precorrin-2 dehydrogenase
1.3.1.87	3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase
1.3.1.9	Enoyl-[acyl-carrier-protein] reductase (NADH)
1.3.1.93	Very-long-chain enoyl-CoA reductase
1.3.1.94	Polyprenol reductase
1.3.1.98	UDP-N-acetylmuramate dehydrogenase
1.3.2.-	With a cytochrome as acceptor.
1.3.2.3	L-galactonolactone dehydrogenase
1.3.3.-	With oxygen as acceptor.
1.3.3.11	Pyrroloquinoline-quinone synthase
1.3.3.3	Coproporphyrinogen oxidase
1.3.3.4	Protoporphyrinogen oxidase
1.3.3.6	Acyl-CoA oxidase
1.3.4.-	With a disulfide as acceptor.
1.3.5.-	With a quinone or related compound as acceptor.
1.3.5.1	Succinate dehydrogenase (quinone)
1.3.5.3	Protoporphyrinogen IX dehydrogenase (menaquinone)
1.3.5.5	15-cis-phytoene desaturase
1.3.7.-	With an iron-sulfur protein as acceptor.
1.3.7.2	15,16-dihydrobiliverdin:ferredoxin oxidoreductase
1.3.7.3	Phycoerythrobilin:ferredoxin oxidoreductase
1.3.7.5	Phycocyanobilin:ferredoxin oxidoreductase
1.3.7.7	Ferredoxin:protochlorophyllide reductase (ATP-dependent)
1.3.7.8	Benzoyl-CoA reductase
1.3.8.-	With a flavin as acceptor.
1.3.8.1	Short-chain acyl-CoA dehydrogenase
1.3.8.4	Isovaleryl-CoA dehydrogenase
1.3.8.7	Medium-chain acyl-CoA dehydrogenase
1.3.98.-	With other, known, acceptors.
1.3.98.1	Dihydroorotate oxidase (fumarate)
1.3.99.-	With other acceptors.
1.3.99.1	Deleted entry
1.3.99.22	Transferred entry: 1.3.98.3
1.3.99.23	All-trans-retinol 13,14-reductase
1.3.99.8	2-furoyl-CoA dehydrogenase
1.4.-.-	Acting on the CH-NH(2) group of donors.
1.4.1.-	With NAD(+) or NADP(+) as acceptor.
1.4.1.1	Alanine dehydrogenase
1.4.1.13	Glutamate synthase (NADPH)
1.4.1.14	Glutamate synthase (NADH)
1.4.1.16	Diaminopimelate dehydrogenase
1.4.1.2	Glutamate dehydrogenase
1.4.1.21	Aspartate dehydrogenase
1.4.1.24	3-dehydroquinate synthase II
1.4.2.-	With a cytochrome as acceptor.
1.4.3.-	With oxygen as acceptor.
1.4.3.16	L-aspartate oxidase
1.4.3.19	Glycine oxidase
1.4.3.21	Primary-amine oxidase
1.4.3.3	D-amino-acid oxidase
1.4.3.4	Monoamine oxidase
1.4.3.5	Pyridoxal 5'-phosphate synthase
1.4.4.-	With a disulfide as acceptor.
1.4.4.2	Glycine dehydrogenase (aminomethyl-transferring)
1.4.5.-	With a quinone or similar compound as acceptor.
1.4.7.-	With an iron-sulfur protein as acceptor.
1.4.9.-	With a copper protein as acceptor.
1.4.9.1	Methylamine dehydrogenase (amicyanin)
1.4.98.-	With other, known, acceptors.
1.4.99.-	With other acceptors.
1.4.99.1	Transferred entry: 1.4.99.6
1.4.99.5	Glycine dehydrogenase (cyanide-forming)
1.5.-.-	Acting on the CH-NH group of donors.
1.5.1.-	With NAD(+) or NADP(+) as acceptor.
1.5.1.12	Transferred entry: 1.2.1.88
1.5.1.2	Pyrroline-5-carboxylate reductase
1.5.1.20	Methylenetetrahydrofolate reductase (NAD(P)H)
1.5.1.28	Opine dehydrogenase
1.5.1.3	Dihydrofolate reductase
1.5.1.30	Flavin reductase (NADPH)
1.5.1.34	6,7-dihydropteridine reductase
1.5.1.38	FMN reductase (NADPH)
1.5.1.5	Methylenetetrahydrofolate dehydrogenase (NADP(+))
1.5.1.6	Formyltetrahydrofolate dehydrogenase
1.5.1.7	Saccharopine dehydrogenase (NAD(+), L-lysine-forming)
1.5.3.-	With oxygen as acceptor.
1.5.3.1	Sarcosine oxidase
1.5.3.14	Polyamine oxidase (propane-1,3-diamine-forming)
1.5.3.16	Spermine oxidase
1.5.3.17	Non-specific polyamine oxidase
1.5.4.-	With a disulfide as acceptor.
1.5.5.-	With a quinone or similar compound as acceptor.
1.5.5.1	Electron-transferring-flavoprotein dehydrogenase
1.5.7.-	With an iron-sulfur protein as acceptor.
1.5.8.-	With a flavin as acceptor.
1.5.8.3	Sarcosine dehydrogenase
1.5.98.-	With other, known, acceptors.
1.5.99.-	With other acceptors.
1.5.99.11	Transferred entry: 1.5.98.2
1.5.99.6	Spermidine dehydrogenase
1.5.99.8	Transferred entry: 1.5.5.2
1.5.99.9	Transferred entry: 1.5.98.1
1.6.-.-	Acting on NADH or NADPH.
1.6.1.-	With NAD(+) or NADP(+) as acceptor.
1.6.1.2	NAD(P)(+) transhydrogenase (Re/Si-specific)
1.6.2.-	With a heme protein as acceptor.
1.6.3.-	With oxygen as acceptor.
1.6.4.-	With a disulfide as acceptor.
1.6.5.-	With a quinone or similar compound as acceptor.
1.6.5.2	NAD(P)H dehydrogenase (quinone)
1.6.5.3	NADH:ubiquinone reductase (H(+)-translocating)
1.6.5.5	NADPH:quinone reductase
1.6.6.-	With a nitrogenous group as acceptor.
1.6.7.-	With a iron-sulfur protein as acceptor.
1.6.8.-	With a flavin as acceptor.
1.6.99.-	With other acceptors.
1.6.99.3	NADH dehydrogenase
1.7.-.-	Acting on other nitrogenous compounds as donors.
1.7.1.-	With NAD(+) or NADP(+) as acceptor.
1.7.1.13	PreQ(1) synthase
1.7.1.14	Nitric oxide reductase (NAD(P)(+), nitrous oxide-forming)
1.7.1.4	Nitrite reductase (NAD(P)H)
1.7.2.-	With a cytochrome as acceptor.
1.7.2.1	Nitrite reductase (NO-forming)
1.7.2.2	Nitrite reductase (cytochrome; ammonia-forming)
1.7.2.4	Nitrous-oxide reductase
1.7.2.5	Nitric-oxide reductase (cytochrome c)
1.7.2.6	Hydroxylamine dehydrogenase
1.7.3.-	With oxygen as acceptor.
1.7.3.3	Factor independent urate hydroxylase
1.7.5.-	With a quinone or similar compound as acceptor.
1.7.6.-	With a nitrogenous group as acceptor.
1.7.7.-	With an iron-sulfur protein as acceptor.
1.7.9.-	With a copper protein as acceptor.
1.7.99.-	With other acceptors.
1.7.99.1	Hydroxylamine reductase
1.7.99.4	Nitrate reductase
1.8.-.-	Acting on a sulfur group of donors.
1.8.1.-	With NAD(+) or NADP(+) as acceptor.
1.8.1.2	Assimilatory sulfite reductase (NADPH)
1.8.1.4	Dihydrolipoyl dehydrogenase
1.8.1.8	Protein-disulfide reductase
1.8.1.9	Thioredoxin-disulfide reductase
1.8.2.-	With a cytochrome as acceptor.
1.8.2.1	Sulfite dehydrogenase
1.8.3.-	With oxygen as acceptor.
1.8.3.1	Sulfite oxidase
1.8.3.2	Thiol oxidase
1.8.3.5	Prenylcysteine oxidase
1.8.3.6	Farnesylcysteine lyase
1.8.4.-	With a disulfide as acceptor.
1.8.4.11	Peptide-methionine (S)-S-oxide reductase
1.8.4.12	Peptide-methionine (R)-S-oxide reductase
1.8.4.14	L-methionine (R)-S-oxide reductase
1.8.4.2	Protein-disulfide reductase (glutathione)
1.8.4.8	Phosphoadenylyl-sulfate reductase (thioredoxin)
1.8.5.-	With a quinone or similar compound as acceptor.
1.8.5.2	Thiosulfate dehydrogenase (quinone)
1.8.6.-	With an nitrogenous group as acceptor.
1.8.7.-	With an iron-sulfur protein as acceptor.
1.8.98.-	With other, known, acceptors.
1.8.98.1	CoB--CoM heterodisulfide reductase
1.8.98.2	Sulfiredoxin
1.8.99.-	With other acceptors.
1.8.99.3	Hydrogensulfite reductase
1.9.-.-	Acting on a heme group of donors.
1.9.3.-	With oxygen as acceptor.
1.9.3.1	Cytochrome-c oxidase
1.9.6.-	With a nitrogenous group as acceptor.
1.9.98.-	With other, known, acceptors.
1.9.99.-	With other acceptors.
1.97.-.-	Other oxidoreductases.
1.97.1.-	Other oxidoreductases.
1.97.1.10	Transferred entry: 1.21.99.4
1.97.1.11	Transferred entry: 1.21.99.3
1.97.1.4	[Formate-C-acetyltransferase]-activating enzyme
1.98.-.-	Enzymes using H(2) as reductant.
1.98.1.-	Other oxidoreductases.
1.99.-.-	Other enzymes using O(2) as oxidant.
1.99.1.-	Hydroxylases.
1.99.2.-	Oxygenases.
2.-.-.-	Transferases.
2.1.-.-	Transferring one-carbon groups.
2.1.1.-	Methyltransferases.
2.1.1.1	Nicotinamide N-methyltransferase
2.1.1.10	Homocysteine S-methyltransferase
2.1.1.100	Protein-S-isoprenylcysteine O-methyltransferase
2.1.1.107	Uroporphyrinogen-III C-methyltransferase
2.1.1.11	Magnesium protoporphyrin IX methyltransferase
2.1.1.12	Methionine S-methyltransferase
2.1.1.125	Transferred entry: 2.1.1.319, 2.1.1.320, 2.1.1.321 and 2.1.1.322
2.1.1.127	[Ribulose-bisphosphate carboxylase]-lysine N-methyltransferase
2.1.1.13	Methionine synthase
2.1.1.130	Precorrin-2 C(20)-methyltransferase
2.1.1.131	Precorrin-3B C(17)-methyltransferase
2.1.1.132	Precorrin-6B C(5,15)-methyltransferase (decarboxylating)
2.1.1.133	Precorrin-4 C(11)-methyltransferase
2.1.1.137	Arsenite methyltransferase
2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
2.1.1.144	Trans-aconitate 2-methyltransferase
2.1.1.145	Trans-aconitate 3-methyltransferase
2.1.1.148	Thymidylate synthase (FAD)
2.1.1.151	Cobalt-factor II C(20)-methyltransferase
2.1.1.16	Methylene-fatty-acyl-phospholipid synthase
2.1.1.163	Demethylmenaquinone methyltransferase
2.1.1.166	23S rRNA (uridine(2552)-2'-O)-methyltransferase
2.1.1.168	21S rRNA (uridine(2791)-2'-O)-methyltransferase
2.1.1.17	Phosphatidylethanolamine N-methyltransferase
2.1.1.170	16S rRNA (guanine(527)-N(7))-methyltransferase
2.1.1.171	16S rRNA (guanine(966)-N(2))-methyltransferase
2.1.1.172	16S rRNA (guanine(1207)-N(2))-methyltransferase
2.1.1.176	16S rRNA (cytosine(967)-C(5))-methyltransferase
2.1.1.177	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase
2.1.1.178	16S rRNA (cytosine(1407)-C(5))-methyltransferase
2.1.1.181	23S rRNA (adenine(1618)-N(6))-methyltransferase
2.1.1.182	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase
2.1.1.184	23S rRNA (adenine(2085)-N(6))-dimethyltransferase
2.1.1.185	23S rRNA (guanosine(2251)-2'-O)-methyltransferase
2.1.1.186	23S rRNA (cytidine(2498)-2'-O)-methyltransferase
2.1.1.187	23S rRNA (guanine(745)-N(1))-methyltransferase
2.1.1.190	23S rRNA (uracil(1939)-C(5))-methyltransferase
2.1.1.191	23S rRNA (cytosine(1962)-C(5))-methyltransferase
2.1.1.192	23S rRNA (adenine(2503)-C(2))-methyltransferase
2.1.1.193	16S rRNA (uracil(1498)-N(3))-methyltransferase
2.1.1.195	Cobalt-precorrin-5B (C(1))-methyltransferase
2.1.1.197	Malonyl-[acyl-carrier protein] O-methyltransferase
2.1.1.198	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
2.1.1.199	16S rRNA (cytosine(1402)-N(4))-methyltransferase
2.1.1.2	Guanidinoacetate N-methyltransferase
2.1.1.20	Glycine N-methyltransferase
2.1.1.201	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase
2.1.1.206	tRNA (cytidine(56)-2'-O)-methyltransferase
2.1.1.207	tRNA (cytidine(34)-2'-O)-methyltransferase
2.1.1.211	tRNA(Ser) (uridine(44)-2'-O)-methyltransferase
2.1.1.214	tRNA (guanine(10)-N(2))-methyltransferase
2.1.1.215	tRNA (guanine(26)-N(2)/guanine(27)-N(2))-dimethyltransferase
