Id	Name	Description
PF00367	PTS_EIIB	phosphotransferase system, EIIB
PF00368	HMG-CoA_red	Hydroxymethylglutaryl-coenzyme A reductase
PF00370	FGGY_N	FGGY family of carbohydrate kinases, N-terminal domain
PF00372	Hemocyanin_M	Hemocyanin, copper containing domain
PF00373	FERM_M	FERM central domain
PF00374	NiFeSe_Hases	Nickel-dependent hydrogenase
PF00375	SDF	Sodium:dicarboxylate symporter family
PF00376	MerR	MerR family regulatory protein
PF00378	ECH_1	Enoyl-CoA hydratase/isomerase
PF00379	Chitin_bind_4	Insect cuticle protein
PF00380	Ribosomal_S9	Ribosomal protein S9/S16
PF00381	PTS-HPr	PTS HPr component phosphorylation site
PF00382	TFIIB	Transcription factor TFIIB repeat
PF00383	dCMP_cyt_deam_1	Cytidine and deoxycytidylate deaminase zinc-binding region
PF00384	Molybdopterin	Molybdopterin oxidoreductase
PF00385	Chromo	Chromo (CHRromatin Organisation MOdifier) domain
PF00386	C1q	C1q domain
PF00387	PI-PLC-Y	Phosphatidylinositol-specific phospholipase C, Y domain
PF00388	PI-PLC-X	Phosphatidylinositol-specific phospholipase C, X domain
PF00389	2-Hacid_dh	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF00390	malic	Malic enzyme, N-terminal domain
PF00391	PEP-utilizers	PEP-utilising enzyme, mobile domain
PF00392	GntR	Bacterial regulatory proteins, gntR family
PF00393	6PGD	6-phosphogluconate dehydrogenase, C-terminal domain
PF00394	Cu-oxidase	Multicopper oxidase
PF00395	SLH	S-layer homology domain
PF00396	Granulin	Granulin
PF00397	WW	WW domain
PF00398	RrnaAD	Ribosomal RNA adenine dimethylase
PF00400	WD40	WD domain, G-beta repeat
PF00401	ATP-synt_DE	ATP synthase, Delta/Epsilon chain, long alpha-helix domain
PF00402	Calponin	Calponin family repeat
PF00403	HMA	Heavy-metal-associated domain
PF00404	Dockerin_1	Dockerin type I repeat
PF00405	Transferrin	Transferrin
PF00406	ADK	Adenylate kinase
PF00407	Bet_v_1	Pathogenesis-related protein Bet v I family
PF00408	PGM_PMM_IV	Phosphoglucomutase/phosphomannomutase, C-terminal domain
PF00410	Ribosomal_S8	Ribosomal protein S8
PF00411	Ribosomal_S11	Ribosomal protein S11
PF00412	LIM	LIM domain
PF00413	Peptidase_M10	Matrixin
PF00415	RCC1	Regulator of chromosome condensation (RCC1) repeat
PF00416	Ribosomal_S13	Ribosomal protein S13/S18
PF00419	Fimbrial	Fimbrial protein
PF00420	Oxidored_q2	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00421	PSII	Photosystem II protein
PF00425	Chorismate_bind	chorismate binding enzyme
PF00427	PBS_linker_poly	Phycobilisome Linker polypeptide
PF00428	Ribosomal_60s	60s Acidic ribosomal protein
PF00430	ATP-synt_B	ATP synthase B/B' CF(0)
PF00431	CUB	CUB domain
PF00432	Prenyltrans	Prenyltransferase and squalene oxidase repeat
PF00433	Pkinase_C	Protein kinase C terminal domain
PF00435	Spectrin	Spectrin repeat
PF00436	SSB	Single-strand binding protein family
PF00437	T2SSE	Type II/IV secretion system protein
PF00438	S-AdoMet_synt_N	S-adenosylmethionine synthetase, N-terminal domain
PF00439	Bromodomain	Bromodomain
PF00440	TetR_N	Bacterial regulatory proteins, tetR family
PF00441	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain
PF00443	UCH	Ubiquitin carboxyl-terminal hydrolase
PF00444	Ribosomal_L36	Ribosomal protein L36
PF00445	Ribonuclease_T2	Ribonuclease T2 family
PF00447	HSF_DNA-bind	HSF-type DNA-binding
PF00448	SRP54	SRP54-type protein, GTPase domain
PF00449	Urease_alpha	Urease alpha-subunit, N-terminal domain
PF00450	Peptidase_S10	Serine carboxypeptidase
PF00453	Ribosomal_L20	Ribosomal protein L20
PF00454	PI3_PI4_kinase	Phosphatidylinositol 3- and 4-kinase
PF00455	DeoRC	DeoR C terminal sensor domain
PF00456	Transketolase_N	Transketolase, thiamine diphosphate binding domain
PF00457	Glyco_hydro_11	Glycosyl hydrolases family 11
PF00458	WHEP-TRS	WHEP-TRS domain
PF00459	Inositol_P	Inositol monophosphatase family
PF00460	Flg_bb_rod	Flagella basal body rod protein
PF00462	Glutaredoxin	Glutaredoxin
PF00463	ICL	Isocitrate lyase family
PF00464	SHMT	Serine hydroxymethyltransferase
PF00465	Fe-ADH	Iron-containing alcohol dehydrogenase 
PF00466	Ribosomal_L10	Ribosomal protein L10
PF00467	KOW	KOW motif
PF00468	Ribosomal_L34	Ribosomal protein L34
PF00469	F-protein	Negative factor, (F-Protein) or Nef
PF00471	Ribosomal_L33	Ribosomal protein L33
PF00472	RF-1	RF-1 domain
PF00474	SSF	Sodium:solute symporter family
PF00475	IGPD	Imidazoleglycerol-phosphate dehydratase
PF00476	DNA_pol_A	DNA polymerase family A
PF00477	LEA_5	Small hydrophilic plant seed protein
PF00478	IMPDH	IMP dehydrogenase / GMP reductase domain
PF00479	G6PD_N	Glucose-6-phosphate dehydrogenase, NAD binding domain
PF00480	ROK	ROK family
PF00481	PP2C	Protein phosphatase 2C
PF00482	T2SSF	Type II secretion system (T2SS), protein F
PF00483	NTP_transferase	Nucleotidyl transferase
PF00484	Pro_CA	Carbonic anhydrase
PF00485	PRK	Phosphoribulokinase / Uridine kinase family
PF00486	Trans_reg_C	Transcriptional regulatory protein, C terminal
PF00487	FA_desaturase	Fatty acid desaturase
PF00488	MutS_V	MutS domain V
PF00490	ALAD	Delta-aminolevulinic acid dehydratase
PF00491	Arginase	Arginase family
PF00493	MCM	MCM2/3/5 family
PF00494	SQS_PSY	Squalene/phytoene synthase
PF00496	SBP_bac_5	Bacterial extracellular solute-binding proteins, family 5 Middle
PF00497	SBP_bac_3	Bacterial extracellular solute-binding proteins, family 3
PF00498	FHA	FHA domain
PF00499	Oxidored_q3	NADH-ubiquinone/plastoquinone oxidoreductase chain 6
PF00501	AMP-binding	AMP-binding enzyme
PF00502	Phycobilisome	Phycobilisome protein
PF00503	G-alpha	G-protein alpha subunit
PF00504	Chloroa_b-bind	Chlorophyll A-B binding protein
PF00505	HMG_box	HMG (high mobility group) box
PF00507	Oxidored_q4	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
PF00510	COX3	Cytochrome c oxidase subunit III
PF00512	HisKA	His Kinase A (phospho-acceptor) domain
PF00513	Late_protein_L2	Late Protein L2
PF00514	Arm	Armadillo/beta-catenin-like repeat
PF00515	TPR_1	Tetratricopeptide repeat
PF00518	E6	Early Protein (E6)
PF00519	PPV_E1_C	Papillomavirus helicase
PF00520	Ion_trans	Ion transport protein
PF00521	DNA_topoisoIV	DNA gyrase/topoisomerase IV, subunit A
PF00526	Dicty_CTDC	Dictyostelium (slime mold) repeat
PF00527	E7	E7 protein, Early protein
PF00528	BPD_transp_1	Binding-protein-dependent transport system inner membrane component
PF00529	HlyD	HlyD membrane-fusion protein of T1SS
PF00530	SRCR	Scavenger receptor cysteine-rich domain
PF00531	Death	Death domain
PF00532	Peripla_BP_1	Periplasmic binding proteins and sugar binding domain of LacI family
PF00533	BRCT	BRCA1 C Terminus (BRCT) domain
PF00534	Glycos_transf_1	Glycosyl transferases group 1
PF00535	Glycos_transf_2	Glycosyl transferase family 2
PF00536	SAM_1	SAM domain (Sterile alpha motif)
PF00538	Linker_histone	linker histone H1 and H5 family
PF00542	Ribosomal_L12	Ribosomal protein L7/L12 C-terminal domain
PF00543	P-II	Nitrogen regulatory protein P-II
PF00544	Pec_lyase_C	Pectate lyase
PF00545	Ribonuclease	ribonuclease
PF00547	Urease_gamma	Urease, gamma subunit
PF00549	Ligase_CoA	CoA-ligase
PF00550	PP-binding	Phosphopantetheine attachment site
PF00551	Formyl_trans_N	Formyl transferase
PF00553	CBM_2	Cellulose binding domain
PF00554	RHD_DNA_bind	Rel homology DNA-binding domain
PF00556	LHC	Antenna complex alpha/beta subunit
PF00557	Peptidase_M24	Metallopeptidase family M24
PF00560	LRR_1	Leucine Rich Repeat
PF00561	Abhydrolase_1	alpha/beta hydrolase fold
PF00562	RNA_pol_Rpb2_6	RNA polymerase Rpb2, domain 6
PF00563	EAL	EAL domain
PF00564	PB1	PB1 domain
PF00565	SNase	Staphylococcal nuclease homologue
PF00566	RabGAP-TBC	Rab-GTPase-TBC domain
PF00567	TUDOR	Tudor domain
PF00568	WH1	WH1 domain
PF00569	ZZ	Zinc finger, ZZ type
PF00570	HRDC	HRDC domain
PF00571	CBS	CBS domain
PF00572	Ribosomal_L13	Ribosomal protein L13
PF00573	Ribosomal_L4	Ribosomal protein L4/L1 family
PF00574	CLP_protease	Clp protease
PF00575	S1	S1 RNA binding domain
PF00576	Transthyretin	HIUase/Transthyretin family
PF00577	Usher	Outer membrane usher protein
PF00578	AhpC-TSA	AhpC/TSA family
PF00579	tRNA-synt_1b	tRNA synthetases class I (W and Y)
PF00580	UvrD-helicase	UvrD/REP helicase N-terminal domain
PF00581	Rhodanese	Rhodanese-like domain
PF00582	Usp	Universal stress protein family
PF00583	Acetyltransf_1	Acetyltransferase (GNAT) family
PF00584	SecE	SecE/Sec61-gamma subunits of protein translocation complex
PF00585	Thr_dehydrat_C	C-terminal regulatory domain of Threonine dehydratase
PF00586	AIRS	AIR synthase related protein, N-terminal domain
PF00587	tRNA-synt_2b	tRNA synthetase class II core domain (G, H, P, S and T)
PF00588	SpoU_methylase	SpoU rRNA Methylase family
PF00589	Phage_integrase	Phage integrase family
PF00590	TP_methylase	Tetrapyrrole (Corrin/Porphyrin) Methylases
PF00591	Glycos_transf_3	Glycosyl transferase family, a/b domain
PF00593	TonB_dep_Rec	TonB dependent receptor
PF00595	PDZ	PDZ domain (Also known as DHR or GLGF)
PF00596	Aldolase_II	Class II Aldolase and Adducin N-terminal domain
PF00605	IRF	Interferon regulatory factor transcription factor
PF00606	Glycoprotein_B	Herpesvirus Glycoprotein B
PF00607	Gag_p24	gag gene protein p24 (core nucleocapsid protein)
PF00609	DAGK_acc	Diacylglycerol kinase accessory domain
PF00610	DEP	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
PF00611	FCH	Fes/CIP4, and EFC/F-BAR homology domain
PF00612	IQ	IQ calmodulin-binding motif
PF00613	PI3Ka	Phosphoinositide 3-kinase family, accessory domain (PIK domain)
PF00614	PLDc	Phospholipase D Active site motif
PF00615	RGS	Regulator of G protein signaling domain
PF00616	RasGAP	GTPase-activator protein for Ras-like GTPase
PF00617	RasGEF	RasGEF domain
